stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,5.26,0,0,0,21.03,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,134.06,7.89,0,0,42.06,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,138.47,6.29,0,0,34.62,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,1,1,0,4,0,0,5,7,0,0,0
 24-34,0,0,0,0.82,0,0,13.95,0,0,0,0.82,0,0,0.82,0.82,0.82,0,0.82,0,0,8.21,0,0,1.64,93.58,0.82,1.64,1.64,0,1.64,0,0,0,0.82,4.1,23.8,1.64,0,0
 36-46,0,0,0,1.61,0,0,11.28,0,0.81,0,4.03,0,0,0,0,0,0.81,0.81,0,0,10.47,0,0,0.81,55.59,0.81,0,0.81,0,2.42,0,0,0,0,0,15.31,1.61,0,0
 48-58,0,0,0,0,0,0,17.79,0.57,0,1.15,5.16,0.57,0,0,0.57,0,0,0.57,0,0.57,10.9,0,0,1.15,22.95,0,0,2.3,0,0,0,0,0,0,0,8.03,1.72,0,0.57
 60-70,0,0,0,3.93,0,0,20.61,0.98,0,0,5.89,1.96,0,0,0,0,0.98,0,0,0,7.85,0,0,1.96,20.61,0.98,0.98,0,0,1.96,0,0,0,0,0,4.91,1.96,0,0
 72-82,0,0,0,0.98,0.98,0,14.72,0,2.94,0,9.82,0.98,0,0,0,0,0,0,0.98,0,15.71,0.98,0,3.93,26.5,0,1.96,0,0,1.96,0,0,0.98,0,0,1.96,5.89,0,0
 84-94,0,0,0,4.25,1.06,1.06,9.56,0,0,0,6.37,1.06,0,0,0,1.06,1.06,1.06,1.06,1.06,9.56,0,1.06,0,12.74,1.06,0,1.06,0,2.12,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,4.37,1.09,0,6.56,0,0,0,2.19,1.09,0,0,2.19,0,0,0,0,1.09,5.46,1.09,0,3.28,15.3,0,0,2.19,0,6.56,0,0,0,0,0,0,4.37,1.09,1.09
108-118,0,0,0,4.6,0,2.3,7.66,0,0,0.77,6.13,2.3,0,0,2.3,0.77,0.77,0,0.77,0.77,5.36,0,0,3.83,13.02,0,0,0.77,0,2.3,0,0,0,0,0,0.77,3.06,0,2.3
120,0,0,0,0,1.96,0,0,0,0,0,5.88,3.92,0,0,1.96,0,1.96,0,1.96,0,9.8,0,0,0,13.72,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0
