stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,13,16,0,0,0,1
 24-34,0,0,1.64,0.82,1.64,0,0,0,0.82,0,0,0,0.82,0,1.64,0,0.82,9.03,0,0,0,2.46,0,0.82,1.64,0.82,4.93,5.75,0,0
 36-46,0,0,1.61,0,4.83,0,0,0,0,0,0.81,0.81,0,0,1.61,0,0.81,20.95,0,0.81,0,0,0,0,0.81,0,6.45,0,0,0
 48-58,0,0,0.57,0,2.3,0,0,0,0.57,0,0,0,0,0,0.57,0,2.3,13.2,0,0,0,2.3,0,0,0,0,1.72,0.57,0,0
 60-70,0,0,0,0,13.74,0,1.96,0,0,0.98,0,0,0.98,0,1.96,0,0.98,27.48,0,0.98,0,3.93,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,1.96,8.83,0,1.96,0,0,21.6,0.98,0,0,0,2.94,0,0,13.74,0,0,0,1.96,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,8.5,0,0,0,0,16.99,0,0,0,0,1.06,0,0,3.19,0,0,0,8.5,0,0,0,0,0,3.19,0,0
 96-106,0,0,3.28,0,10.93,0,3.28,1.09,0,40.44,0,0,0,0,9.84,1.09,0,7.65,1.09,0,0,3.28,0,0,0,0,0,10.93,0,0
108-118,0,0,1.53,0,7.66,1.53,3.06,0.77,0.77,32.17,0.77,0,0,0.77,1.53,0,0,6.13,0,0,0,0.77,0,0,0,0,0,7.66,0,0
120,0,0,3.92,1.96,11.76,1.96,1.96,1.96,0,37.24,0,0,0,0,3.92,0,1.96,5.88,0,1.96,0,0,0,0,0,0,0,9.8,0,0
