stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,2,2,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0.82,0,0.82,5.75,0,0.82,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,18.53,0.81,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,7.46,0,1.15,0,0,0,0,2.3,0,0,8.61,0,0,0,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,0,10.8,0,3.93,0,0,0,0,5.89,1.96,1.96,18.65,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0.98,0,0,11.78,7.85,0,18.65,0,0.98,0,0,14.72,0,0.98,14.72,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,1.06,23.36,9.56,0,12.74,0,0,0,0,9.56,1.06,2.12,10.62,0,0,0,0,0,0,0,1.06,2.12,0,2.12
 96-106,0,0,1.09,0,18.58,15.3,0,39.34,0,0,1.09,0,12.02,0,1.09,15.3,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,1.53,0,104.17,13.02,0.77,28.34,0.77,0,1.53,0,13.02,0,0.77,13.02,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,1.96,0,25.48,3.92,1.96,33.32,0,0,0,1.96,15.68,0,0,9.8,0,0,1.96,0,1.96,0,0,0,0,0,0
