stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,40.22,0,0,0,0,4.1,0,1.64,22.16,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,59.62,0,0,0,0,8.86,0,0.81,4.83,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,0,0.57,63.69,0,0,0,0,14.92,1.15,0.57,5.74,0,0,1.72,0,0,0,0
 60-70,0,0,0,0.98,0,69.69,0,0,2.94,0,8.83,0.98,1.96,2.94,0,0,0,0.98,0,0.98,0.98
 72-82,0,0.98,0,0.98,0,57.92,0,0.98,0.98,0,16.69,0.98,3.93,6.87,0.98,0,0,0.98,0,6.87,0
 84-94,0,0,0,2.12,0,41.42,0,2.12,3.19,1.06,10.62,3.19,0,2.12,0,0,0,2.12,0,6.37,0
 96-106,0,0,0,0,0,32.79,1.09,0,3.28,0,15.3,1.09,4.37,7.65,0,0,1.09,4.37,0,3.28,0
108-118,0,0,0,0.77,0,25.28,0,0,6.89,0,6.89,0.77,1.53,5.36,0,0,0,0,0.77,5.36,0
120,0,0,0,0,0,39.2,0,0,1.96,0,9.8,0,1.96,11.76,0,0,0,5.88,0,1.96,0
