stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,1,0,1,0,0,0,0,2,3,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,10.67,0.82,0,0,0,0,2.46,0,0.82,3.28,0,0,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0.81,0.81,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,16.11,0,0,0.81,0,0,1.61,0,0,3.22,0,0,0
 48-58,0,0,0.57,0,0,0,0,6.31,0,0,1.15,0,0,0,0,1.15,0,0,0,2.87,0,0,0.57,9.75,0,0,0.57,0,0,2.87,0,0,3.44,0,1.72,0
 60-70,0,0,0,0,0,0,0,13.74,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,14.72,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,13.74,0,0,3.93,0.98,0,0,0,0,0,0,0,2.94,0.98,0,1.96,14.72,0,0.98,0,0,0,0.98,0.98,0,0,0,0.98,1.96
 84-94,0,0,0,0,2.12,0,0,10.62,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,5.31,0,0,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,10.93,0,0,0,0,0,0,0,0,0,1.09,1.09,2.19,0,1.09,1.09,8.74,0,2.19,1.09,0,1.09,5.46,0,0,0,0,3.28,0
108-118,0,0,0,0,0.77,0,0.77,3.83,0.77,0,0,3.06,0,0,0.77,0,0,0,0,0.77,0,0,0,9.19,0,0,0,0,0,2.3,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,0,1.96,5.88,0,1.96,0,0,0,1.96,0,0,0,0,0,0
