stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,125.88,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,69,0,6,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,40,0,0,1,0,0,4,0,8,0,0,1,18,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,4.1,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,7.39,0,0,1.64,202.75,0,0.82,0,0,0,12.31,0,0.82,0,0,0,50.07,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,2.42,0,10.47,0,0.81,1.61,3.22,0,0,0,0,0,0,0,0.81,5.64,0,0,1.61,388.33,0,0.81,0,0,0,18.53,0,0,0.81,0,0,97.49,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,47.63,0,0,0.57,5.74,0,0,0,0,0.57,0.57,0.57,0,7.46,0,0,2.3,570.94,0,0,0,0,0,6.89,0,0,0,0.57,0,79.76,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,168.82,1.96,0,0,4.91,0,0,0,0,0,0,0,0,7.85,0,0.98,0,713.57,0,0.98,0,0,0,10.8,0,0,0,0,0,83.43,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,5.89,1.96,221.86,0,0,0,12.76,0,0,0,0.98,0,0,0.98,0,13.74,0.98,0.98,2.94,602.74,0,0,0,0,0.98,9.82,0,0,0,0,0,53.01,1.96,0,0,0,0.98
 84-94,0,0,0,0,8.5,0,154,0,0,2.12,2.12,0,0,0,0,1.06,0,1.06,0,9.56,0,0,2.12,259.14,0,1.06,1.06,0,0,28.68,0,0,0,0,0,24.43,0,1.06,1.06,0,0
 96-106,0,0,0,0,5.46,1.09,103.82,0,0,0,15.3,0,0,0,1.09,1.09,0,0,0,13.11,0,0,0,229.5,0,1.09,0,0,0,19.67,1.09,0,0,0,0,8.74,0,0,0,0,0
108-118,0,0,0,0,7.66,0.77,68.94,0,1.53,0,6.13,2.3,0,0,0,0.77,0.77,0,0,11.49,0,0,0.77,277.28,0,2.3,0.77,0,0,9.96,0,0,0,0,0,7.66,0,0,1.53,0.77,0
120,0,0,0,0,11.76,0,66.63,0,0,0,5.88,0,0,0,0,0,0,0,0,11.76,0,0,0,319.45,1.96,1.96,1.96,0,0,9.8,0,0,0,0,0,9.8,0,0,0,0,0
