stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,729.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,202.41,2.63,0,0,47.32,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,9.44,0,0,44.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,37,0,1,3,0,1,0,4,3,15,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,16.42,0,0.82,0,4.1,0,0,0.82,0,0,0,0,0,0,8.21,0,0,8.21,139.55,1.64,4.1,0,0,4.1,0,0,1.64,27.09,0,0,4.1,0
 36-46,0,0,0,0,1.61,0,38.67,0,0,4.03,4.03,0,0,0,0,0,0.81,0,0,0,24.98,0,0.81,8.86,342.41,0,4.03,0,0,4.83,0,0,0,78.96,0,0,0,0
 48-58,0,0,0,0,0.57,0,43.04,0,1.15,0,10.33,0.57,0,1.15,0.57,0,0.57,0.57,0,0.57,16.64,0.57,0.57,1.72,158.94,0,1.72,0,0,4.02,0,0,0,36.72,0,0.57,2.3,1.15
 60-70,0,0,0,0,1.96,0.98,97.17,0,0,0,7.85,0,0,0.98,0,0.98,0,0,0,0,22.58,0.98,0.98,1.96,177.66,0,0.98,2.94,0,1.96,0,0,0,18.65,0,0.98,3.93,0
 72-82,0,0,0,0,1.96,0,60.86,0.98,0,3.93,15.71,2.94,0,0,0.98,0.98,0.98,0.98,0,0.98,32.39,0,0.98,1.96,109.95,0,1.96,1.96,0,5.89,0,0,0,21.6,0.98,0,0.98,1.96
 84-94,0,0,0,0,4.25,0,64.78,0,1.06,0,9.56,0,0,0,0,0,1.06,1.06,1.06,2.12,30.8,1.06,0,0,79.65,0,1.06,0,0,9.56,0,0,0,15.93,2.12,0,5.31,1.06
 96-106,0,0,1.09,0,6.56,1.09,39.34,1.09,0,1.09,6.56,5.46,0,0,0,0,1.09,1.09,0,0,25.14,0,0,0,56.83,0,1.09,0,0,14.21,0,0,0,4.37,0,0,3.28,1.09
108-118,0,0,0,0,6.13,0.77,29.11,0,0.77,0,10.72,2.3,0,0,0.77,0.77,5.36,0,0,2.3,12.26,0,0,0.77,53.62,0,0,2.3,0,3.06,0,0,0,0,0.77,0,0.77,3.83
120,0,0,0,0,5.88,5.88,15.68,0,1.96,3.92,5.88,0,0,1.96,1.96,0,0,0,0,0,13.72,0,0,0,54.87,0,0,0,0,5.88,0,0,0,0,0,0,0,0
