stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0,3.44,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,130.54,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,8.83,0.98,773.55,0,0,0,6.87,2.94,0.98,0.98,0,0,0,0.98,1.96,28.47,0,2.94,1.96,47.12,0,0.98,0,0,1.96,0,9.82,0.98,0,0.98,0,0.98
 84-94,0,0,12.74,3.19,824.14,3.19,0,1.06,8.5,1.06,0,1.06,1.06,1.06,1.06,0,1.06,10.62,2.12,1.06,1.06,22.3,1.06,0,0,1.06,3.19,0,8.5,0,0,0,1.06,0
 96-106,0,0,16.39,3.28,772.64,2.19,2.19,2.19,13.11,0,1.09,2.19,1.09,1.09,1.09,1.09,0,16.39,0,1.09,2.19,41.53,1.09,1.09,0,0,6.56,1.09,7.65,1.09,1.09,3.28,1.09,1.09
108-118,0,0.77,5.36,4.6,555.32,0,1.53,2.3,11.49,0.77,0,0.77,0.77,0,0,0,0,15.32,0,0.77,2.3,56.68,0.77,0,0,0.77,2.3,0,3.06,0,0.77,0.77,0,1.53
120,0,0,3.92,3.92,593.82,0,1.96,0,5.88,0,1.96,0,1.96,0,0,0,0,15.68,0,0,0,25.48,0,0,0,0,3.92,0,0,0,0,0,0,0
