stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,655.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,13.14,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,160.35,10.51,0,0,47.32,107.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,270.64,12.59,0,0,72.38,66.09,3.15,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,1,210,1,0,3,0,1,0,0,3,36,0,0,94,0,0,0,0,2,25,0,4,46,1,0,39,1,998,0,7,3,1,4,13,0,0,1,0,0
 24-34,0,0,0.82,2.46,77.16,0.82,0,9.85,0,9.03,0,0.82,4.93,43.51,0,0.82,156.78,0,4.93,1.64,0,12.31,79.62,0.82,5.75,148.57,0.82,26.27,43.51,0,1778.8,0,0,3.28,0,2.46,12.31,0,0,2.46,0,1.64
 36-46,0,0,0,0.81,24.98,0,0,15.31,1.61,14.5,0,0.81,1.61,8.86,0,0,47.53,0,6.45,0,0.81,4.03,55.59,0,1.61,87.01,1.61,17.72,20.14,0,1721.72,0,0,0.81,0,0,17.72,0,0,3.22,0,0
 48-58,0,0,0,0,37.87,0,0,26.97,0,29.26,1.15,7.46,2.87,14.92,1.15,0,28.69,0.57,6.31,0,0.57,13.77,52.22,0,1.72,82.63,0,17.21,30.41,0,1534.93,0,0,0.57,0.57,0,16.64,0,0.57,1.72,0,1.15
 60-70,0,0,0,0,71.65,0,0,33.37,0,22.58,1.96,3.93,1.96,8.83,0,0,41.22,0,13.74,0,0,6.87,40.24,0,0.98,47.11,0,18.65,19.63,0,1145.44,0,0,0.98,0,0,4.91,4.91,0,0,0,3.93
 72-82,0,0,0,0,171.79,2.94,0,21.6,0,28.47,0,6.87,36.32,9.82,0,0.98,106.02,0,35.34,0.98,0,11.78,63.81,0.98,1.96,56.94,0,18.65,16.69,0,1077.86,0,0,0,0,0,3.93,25.52,0,2.94,0.98,0
 84-94,0,0,0,1.06,356.84,1.06,0,16.99,0,77.53,1.06,2.12,57.35,9.56,0,2.12,174.17,0,50.98,1.06,0,10.62,83.9,0,2.12,23.36,1.06,46.73,21.24,0,2551.01,1.06,0,1.06,1.06,0,1.06,124.26,0,0,0,2.12
 96-106,0,0,1.09,0,533.31,4.37,1.09,26.23,2.19,97.26,1.09,3.28,142.07,2.19,0,5.46,222.94,0,72.13,0,1.09,14.21,96.17,1.09,2.19,77.59,0,60.11,16.39,0,2284.05,0,0,0,0,0,2.19,201.08,0,3.28,2.19,1.09
108-118,0,0,0,0,485.62,6.13,0,12.26,0,115.66,0.77,4.6,111.83,0,0,3.83,197.62,1.53,52.09,0.77,2.3,9.96,75.83,0,0.77,39.83,0,39.83,10.72,0,1675.93,0,0,0.77,0.77,0,0,215.24,1.53,0,1.53,0.77
120,0,0,0,0,303.77,5.88,0,5.88,0,48.99,0,3.92,47.03,0,0,1.96,82.31,0,25.48,1.96,0,7.84,43.12,0,0,43.12,0,11.76,7.84,0,813.31,0,0,0,0,0,0,80.35,0,0,0,0
