stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1863.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,21.03,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.56,5.26,0,0,173.5,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.66,6.29,0,0,151.05,0,6.29,6.29,47.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,116,6,14,0,1,0,2,1,0,0,0,0,0,0,0,12,0,0,18,36,0,1,0,4,0,1,11,0,0,7,25,0,0,0,0,0
 24-34,0,0,1.64,0,24.63,0,17.24,0,9.85,0,0.82,0,0,0,0.82,0,0.82,0,0.82,9.03,0.82,0.82,18.06,142.83,0,9.03,0,0,0,0,0,2.46,0.82,0,45.15,0,0,0,0,0
 36-46,0,0,0,0,7.25,0,70.09,0,2.42,0,6.45,0,0,0,0,0,0,0,0,15.31,0,0,2.42,338.38,0,10.47,0,0,0.81,0,0,0,0,0,58.01,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,216.32,0,1.72,0.57,11.48,0,0.57,0.57,0,0,0,0,1.15,19.51,0,0,3.44,460.19,0,4.59,0,0,1.72,0,0,0,0,0,60.82,0,0,1.15,0,0.57
 60-70,0,0,0,0,10.8,0,526.1,0,1.96,0,22.58,0,0,0,0.98,0.98,0,0,0.98,30.43,0,0.98,0.98,832.33,0,6.87,0,0,0.98,0.98,0,0,0,0,69.69,0.98,0,0,0,0.98
 72-82,0,0,0.98,0,14.72,2.94,676.37,0,0,0.98,40.25,1.96,0,0.98,1.96,0,0,1.96,0,30.43,0.98,0.98,2.94,741.15,0,9.82,1.96,0,1.96,0,0,0,0.98,0,46.14,0.98,0,1.96,0,0.98
 84-94,0,0,2.12,0,27.61,0,392.95,0,7.43,2.12,36.11,0,1.06,1.06,0,2.12,1.06,0,0,26.55,0,2.12,2.12,390.83,0,2.12,0,0,1.06,0,0,0,0,0,32.92,0,0,1.06,1.06,0
 96-106,0,0,0,0,21.86,3.28,315.83,0,1.09,2.19,21.86,2.19,1.09,3.28,0,1.09,0,0,0,29.51,0,1.09,2.19,324.58,0,7.65,2.19,0,4.37,0,0,0,0,0,15.3,1.09,0,0,1.09,1.09
108-118,0,0,1.53,0.77,18.38,1.53,246.64,0.77,6.13,0,19.15,1.53,0,3.06,0.77,0.77,0,2.3,0,12.26,0,0,1.53,335.49,0,5.36,1.53,0,0,0,0,0,0,0,4.6,1.53,0.77,1.53,0,0.77
120,0,0,0,0,9.8,5.88,190.1,0,3.92,0,13.72,1.96,0,3.92,1.96,0,0,0,0,21.56,0,0,0,374.32,1.96,1.96,0,0,1.96,0,0,0,0,0,15.68,0,0,0,0,0
