stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste
  3-4,513.94,11043.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0
  5-6,190.02,2623.48,0,0,0,0,0,6.13,0,0,0,0,0,61.3,6.13,0,12.26,42.91,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,5.26,0,0,0,0,0,78.86,0,0,21.03,0,10.51,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,3,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,6.57,0,3.28,0,0,0,0,5.75,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0.81,9.67,0,1.61,0,0.81,0,0,6.45,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0.57,6.89,0,2.3,0,0,0,0,4.02,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0,0,0,7.85,0,0.98,0,0,0,0,3.93,0
 72-82,0,0,0,0,3.93,1.96,0.98,0,0,0,0,0.98,0,8.83,0,1.96,0,0,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,1.06,0,0,1.06,0,1.06,0,7.43,0,0,0,1.06,0,0,3.19,0
 96-106,0,0,0,0,5.46,0,0,0,0,0,0,0,0,2.19,0,2.19,0,2.19,0,0,0,0
108-118,0,0,0.77,1.53,5.36,0,0,0,0.77,0.77,0.77,1.53,0,5.36,0,1.53,0,0.77,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,1.96,0
