stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,143,0,0,0,0,94,68,2,0,0,0
 24-34,0,1.64,0,0.82,20.52,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0,17.24,24.63,14.78,0.82,0.82,0,4.1,59.1,42.68,4.93,0,3.28,0
 36-46,0,0.81,0,3.22,32.23,0,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0,0,3.22,19.34,3.22,0,0,0,0,33.03,2.42,3.22,0,0,0.81
 48-58,0,0,0,6.31,26.97,0,0.57,1.15,0,0,0,0,0,0,0,0,0.57,0.57,0,1.15,3.44,16.07,1.15,0.57,0.57,0.57,0.57,24.1,0,3.44,0,0,1.72
 60-70,0,0.98,0,5.89,29.45,0.98,0.98,0.98,0,0,1.96,0.98,0,0,0,0,0,2.94,0,1.96,1.96,13.74,1.96,0,0,0,0,16.69,0,2.94,0,0.98,0
 72-82,0,0,0.98,5.89,9.82,0,0,1.96,0.98,0,0,0,0,0,0,0,0,4.91,0,0,1.96,10.8,0.98,0,0,0.98,0,10.8,0,0,0.98,0.98,0
 84-94,0,0,0,2.12,12.74,0,2.12,0,0,1.06,2.12,0,1.06,0,0,0,0,3.19,1.06,0,2.12,5.31,3.19,0,0,1.06,1.06,19.12,0,0,0,1.06,1.06
 96-106,0,0,2.19,5.46,7.65,0,0,0,0,0,0,0,2.19,1.09,0,1.09,0,15.3,0,0,1.09,12.02,0,0,0,1.09,3.28,12.02,0,0,0,2.19,0
108-118,0,1.53,0,3.83,7.66,0,0,3.06,0,0,0,0,0,0,0,0,0,11.49,0,0,5.36,5.36,0.77,0,0,0,0,16.09,0,0,0.77,0.77,0.77
120,0,0,0,5.88,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,7.84,0,0,0,0,1.96,5.88,0,1.96,0,3.92,0
