stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,18.88,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,16,0,0,0,0,1,0,7,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,0,0.82,0,0.82,0,4.1,0,2.46,43.51,2.46,0,0,0.82,0,0.82,68.13,0,0.82,0,0
 36-46,0,0,0,0.81,11.28,0.81,0.81,0,0,0.81,0,0.81,0,6.45,0.81,2.42,110.38,0,1.61,0,0.81,0,0,159.52,0,2.42,0,0
 48-58,0,0,1.15,0,22.38,0,0,1.15,0,0.57,0,0,0,8.61,0,0,110.17,0.57,0.57,0,2.3,0,0,206.57,0.57,1.15,0,1.15
 60-70,0,0,2.94,0,26.5,0.98,0.98,1.96,0,3.93,0,0,0,8.83,0,0.98,198.27,0,0,0,0,0,0.98,213.97,0.98,0,0.98,0
 72-82,0,0,1.96,0,29.45,0.98,0.98,12.76,0.98,1.96,0,0.98,0,4.91,0.98,1.96,232.65,0,0.98,0,1.96,0,0,144.3,0,0.98,0.98,0
 84-94,0,0,1.06,0,24.43,2.12,0,8.5,0,1.06,0,0,0,11.68,0,1.06,123.2,0,1.06,0,1.06,0,0,79.65,0,2.12,0,0
 96-106,0,0,4.37,3.28,14.21,0,0,20.76,0,2.19,0,0,1.09,7.65,0,0,99.45,0,0,0,3.28,0,0,50.27,0,1.09,2.19,1.09
108-118,0,0,2.3,0,8.43,0,0,19.92,0,3.83,0.77,0,0,0.77,0.77,0.77,114.13,0,0,0,0,0,0.77,45.19,0,2.3,0,2.3
120,0,0,5.88,0,11.76,0,0,35.28,0,5.88,0,1.96,0,7.84,0,0,131.31,0,0,0,0,0,0,76.43,0,0,1.96,0
