stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,21,1,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,2,28,0,2,4,1,0,2,2,0,13,0,6,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,1.64,2.46,0,0,0.82,0,0.82,0,0,3.28,0,7.39,0,0,6.57,83.73,0.82,0,4.93,0,0,2.46,0,1.64,5.75,0.82,16.42,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,4.03,10.47,0,0.81,4.03,0.81,0,0,0,0,0,15.31,0.81,0,0.81,111.18,0.81,0,3.22,0,0,4.03,0,0,5.64,0,19.34,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,0,36.15,11.48,1.15,1.15,6.31,0,0,0,0,0.57,0,20.08,0,0.57,4.02,177.31,0.57,0,2.3,0,0.57,4.02,0,0.57,8.03,0,17.79,0,0,1.15,0,0
 60-70,0,0,0,0,3.93,0,0,54.97,12.76,0,0.98,8.83,0,0,0,0,0,0,21.59,0,0.98,3.93,375.92,0,0.98,3.93,0,0,6.87,0,0.98,9.82,0,25.52,0,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,0,80.5,12.76,0,2.94,8.83,0.98,0,0,0,1.96,0,25.52,0,0.98,3.93,497.7,0,0.98,0.98,0,0,2.94,0,0,7.85,0,24.54,0.98,0.98,2.94,0.98,0
 84-94,0,0,0,0,7.43,0,0,52.04,7.43,0,0,9.56,4.25,0,0,0,4.25,0,14.87,0,0,3.19,213.47,0,0,3.19,0,0,7.43,0,0,18.05,0,18.05,2.12,0,2.12,0,0
 96-106,0,0,0,0,5.46,0,0,36.06,18.58,1.09,2.19,9.84,1.09,0,1.09,0,2.19,0,19.67,0,0,8.74,145.35,0,0,3.28,0,0,3.28,0,1.09,20.76,0,9.84,1.09,2.19,2.19,3.28,0
108-118,0,0,0.77,0,5.36,0,2.3,42.13,29.11,0,0.77,4.6,2.3,0.77,1.53,0.77,2.3,1.53,6.89,0,0,10.72,185.36,0,2.3,1.53,0,0.77,2.3,0,0,16.85,0,6.13,7.66,0.77,0.77,0,0
120,0,0,1.96,0,1.96,0,0,33.32,39.2,0,0,9.8,1.96,0,0,0,0,0,5.88,0,0,5.88,194.02,0,0,0,0,0,0,0,1.96,5.88,0,9.8,0,0,1.96,0,0
