stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,7.89,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,20,3,0,3,0,0,0,1,3,1,0,0,0,0,0,0,0,10,0,0,2,35,0,0,3,0,0,1,4,0,0,1,17,0,1,0,0
 24-34,0,0,0.82,0,5.75,0.82,0,5.75,0,0,0,0,0,0,0,2.46,2.46,0,0.82,0,0,10.67,0,0,0,36.94,0,0,0,0,0,0,0,1.64,0,0,13.13,0,12.31,0,0.82
 36-46,0,0,0,0,1.61,0,0,11.28,0,0,0,1.61,0,0.81,0,6.45,0,0,0,0,0,4.03,0,0,0,51.56,0,0.81,0,0,0,0.81,0,0,0,0,9.67,0,19.34,0,0
 48-58,0,0,0,0.57,1.72,0.57,0,17.21,0,0,0,4.59,0,6.31,0,8.03,0,0,0.57,0,0,7.46,0,1.15,1.15,37.3,0,1.72,1.15,0,0.57,0.57,0,0,0,0,8.03,0,10.9,0,0
 60-70,0,0,0,0,0.98,0,0,26.5,0,0,0,6.87,0,1.96,0,22.58,0,0,0,0,0.98,23.56,0,0,0,24.54,0,0,0,0,0.98,0,0,3.93,0,0,2.94,1.96,3.93,0,0
 72-82,0,0,0,1.96,0.98,0,0,18.65,1.96,0.98,0,27.49,0,0.98,0,31.41,0.98,0,0,0,0,34.36,0,3.93,0,23.56,0,0.98,0,0,0.98,1.96,0,5.89,0,0,0.98,0.98,16.69,0,0
 84-94,0,0,0,3.19,2.12,0,0,33.99,1.06,0,0,9.56,2.12,4.25,0,44.61,1.06,1.06,0,0,0,33.99,0,2.12,2.12,20.18,0,0,2.12,0,0,0,0,8.5,0,0,0,0,23.36,1.06,0
 96-106,0,0,0,2.19,1.09,2.19,2.19,32.79,9.84,1.09,0,17.49,0,0,1.09,59.01,0,0,0,5.46,0,49.18,1.09,2.19,0,17.49,0,0,0,0,2.19,4.37,0,20.76,1.09,0,1.09,1.09,22.95,2.19,0
108-118,0,0,0,3.06,3.06,0,0,22.21,4.6,0,1.53,19.92,0.77,0,0,31.4,3.83,0.77,0,3.06,1.53,43.66,0,1.53,2.3,15.32,0.77,1.53,3.06,0,1.53,1.53,0,17.62,0,0,1.53,0.77,15.32,0.77,0
120,0,0,0,0,3.92,0,0,13.72,3.92,1.96,0,11.76,0,0,0,41.16,0,0,1.96,0,0,37.24,0,0,0,15.68,0,0,0,0,0,3.92,0,19.6,0,0,1.96,0,7.84,0,0
