stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,1,0,0,0,0,0,0,1,41,0,0,0,0,0
 24-34,0,0,4.93,0.82,7.39,0,0,34.48,0,0.82,0,2.46,0,0,0,0,0,2.46,0,0,0.82,0,0,3.28,841.38,0.82,18.06,0.82,0,0,1.64,0,0,0.82,195.36,0,0,1.64,0,0
 36-46,0,0,3.22,0,1.61,0.81,0,64.45,0.81,0,0,11.28,0,0.81,0,0,0,0.81,0,0,3.22,0,0.81,0.81,2077.82,0.81,25.78,3.22,0,0,0.81,0,0,0,348.05,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,8.03,0.57,0,243.29,0,1.15,0,33.85,0,0.57,0,0,0,1.72,0.57,1.15,12.62,0.57,0.57,3.44,2319.32,1.15,16.07,2.3,0,0.57,0.57,0,0,0,405.11,0,0,1.15,0,1.72
 60-70,0,0,1.96,0,2.94,0,0,729.27,0,0.98,0,64.78,0,0,0,0,0,1.96,0,0.98,23.56,0,5.89,1.96,2686.43,1.96,19.63,0.98,0,1.96,2.94,1.96,0,0,373.96,0.98,0,5.89,1.96,0.98
 72-82,0,0,9.82,0.98,11.78,1.96,0,752.93,0,0,0.98,113.87,1.96,0.98,2.94,0,0.98,2.94,1.96,0,34.36,0.98,4.91,2.94,2167.51,2.94,22.58,3.93,0,2.94,1.96,0.98,0,0,200.26,27.49,3.93,0.98,9.82,2.94
 84-94,0,0,5.31,0,22.3,0,0,494.91,1.06,0,3.19,96.65,5.31,4.25,0,0,2.12,3.19,2.12,0,24.43,1.06,7.43,1.06,1145.94,12.74,16.99,13.81,0,3.19,3.19,1.06,1.06,0,101.96,92.4,2.12,2.12,15.93,0
 96-106,0,0,6.56,0,17.49,6.56,2.19,434.95,0,2.19,0,104.91,6.56,1.09,3.28,0,2.19,12.02,4.37,0,26.23,2.19,5.46,2.19,915.81,14.21,34.97,6.56,0,5.46,3.28,1.09,2.19,0,76.5,126.77,2.19,1.09,9.84,0
108-118,0,0,5.36,0,14.55,1.53,1.53,310.22,0.77,0.77,0.77,81.96,3.06,0,0,0.77,0.77,6.89,2.3,0,23.74,0.77,3.06,1.53,947.5,16.09,14.55,3.83,0,4.6,3.83,0,2.3,0,58.21,153.96,0.77,4.6,6.89,0
120,0,0,9.8,1.96,21.56,0,1.96,266.53,0,1.96,0,107.79,3.92,1.96,0,0,0,5.88,0,0,23.52,0,0,3.92,1011.25,29.4,11.76,5.88,0,3.92,1.96,0,0,0,72.51,35.28,0,0,11.76,0
