stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,4,8,0,0,1,0,0,1,0,240,80,7,0,0,0
 24-34,0,0,3.28,0,2.46,165.81,0,0.82,0.82,0,0,4.1,0.82,0,0,0,0,0,4.1,0,0,13.13,39.4,2.46,0,0,0,1.64,0,0,78.8,96.86,4.1,0,1.64,0.82
 36-46,0,0,0,0,3.22,307.77,0,0,0.81,0,0,0.81,0.81,0,0.81,0,0.81,0,5.64,0,0,12.09,46.73,3.22,0,0,0,1.61,0,0,16.11,9.67,12.89,0,0,0.81
 48-58,0,0,0.57,0,17.21,306.99,0,0.57,3.44,0,0,0,0,0,0,0,0.57,0.57,8.03,0,0,9.75,64.84,0.57,0.57,0,0,0,0,0.57,1.15,0,15.49,0,1.15,1.15
 60-70,0,0,0,0.98,12.76,186.49,0.98,0,1.96,0,0,0,0,0,0,0,0,0,8.83,0,0,11.78,36.32,0,0.98,0,0,2.94,0,0,0,0,3.93,0,0,0.98
 72-82,0,0,0,0,19.63,140.38,0,0.98,1.96,0,0,0,0,0,0,0,0.98,0,14.72,0.98,0.98,7.85,48.1,1.96,0,0,0.98,0.98,0,0,0,0,2.94,0.98,0.98,0
 84-94,0,0,6.37,0,11.68,225.15,0,0,0,1.06,0,0,0,0,0,0,1.06,1.06,7.43,0,0,9.56,26.55,0,0,0,0,5.31,0,1.06,1.06,0,2.12,0,1.06,1.06
 96-106,0,0,4.37,0,13.11,271.03,0,1.09,1.09,1.09,1.09,0,0,1.09,1.09,1.09,0,0,13.11,0,0,8.74,28.41,1.09,1.09,0,0,5.46,0,0,0,0,2.19,0,2.19,0
108-118,0,0,3.83,2.3,10.72,163.15,0,0.77,0.77,0,0,0,1.53,0.77,0.77,0,0,0,9.19,0,0,11.49,32.94,0,0,0,0,3.06,0,1.53,1.53,0,0,0,0,0.77
120,0,0,1.96,0,7.84,92.11,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,15.68,17.64,1.96,0,0,0,0,0,0,0,0,0,0,0,0
