stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,73.6,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,31.47,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,2,0,1,4,0,0,0
 24-34,0,0,0,1.64,0.82,2.46,0,0,0.82,0,0,0,0,0,6.57,0,0,3.28,44.33,0.82,0.82,0,0,0,0.82,0,0,0.82,12.31,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0.81,3.22,0,0,0,0,0,4.83,0,0,0,23.36,0,0.81,0,0,0,0,0,0,0,8.06,0,0.81,0
 48-58,0,0,0,1.15,0,6.89,0,0,4.59,0,0,0.57,0.57,0.57,4.02,0,0,0,17.21,0,0,0,0,0,1.15,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,5.89,0.98,0.98,0,0.98,0,0,0,0,7.85,0,0.98,0,18.65,0,0,0,0,0,1.96,0,0,0,3.93,0.98,0.98,0
 72-82,0,0,0,0,0.98,17.67,0,0,2.94,0,0,0.98,0,0,6.87,0.98,0.98,0,13.74,0,0,0.98,0,0.98,0.98,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,3.19,0,6.37,1.06,0,4.25,0,1.06,0,0,0,3.19,0,0,2.12,5.31,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,3.28,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,3.92,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0
