stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1265.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,465.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,89.38,2.63,0,0,34.17,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,6.29,0,0,37.76,0,6.29,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,71,4,9,1,0,3,0,0,0,19,0,0,1,22,0,13,110,3,0,4,1,1,3,9,4,14,22,0,0,1,0,2
 24-34,0,0,0,4.93,0,4.1,1.64,1.64,3.28,0.82,0,0,29.55,0,0,0,7.39,0,1.64,85.37,0,0.82,0.82,0,7.39,0,0,0,1.64,21.34,0,0,6.57,0,0
 36-46,0,0,0,0,0,16.11,0,4.83,3.22,0,0,0,13.7,0,1.61,0,9.67,0,4.83,46.73,0,0,0,0,7.25,0,0,0,0,9.67,0,0,2.42,0,1.61
 48-58,0,0,0,0.57,0,16.07,0.57,10.33,2.87,0,0,0,10.33,0,0,0,5.74,0,0.57,13.2,0,0,0,0,3.44,0,0,0,0,3.44,0,0,3.44,0,0
 60-70,0,0,0,0,0,18.65,0,8.83,5.89,0,0,0.98,11.78,0,0,0,4.91,0,2.94,6.87,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,13.74,0,12.76,14.72,0,0.98,0,22.58,0.98,0,0.98,6.87,0,3.93,8.83,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,8.5,1.06,10.62,6.37,0,0,0,26.55,0,2.12,2.12,8.5,0,2.12,4.25,0,0,1.06,0,8.5,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,5.46,1.09,6.56,0,7.65,12.02,1.09,0,0,38.25,0,2.19,1.09,1.09,1.09,1.09,8.74,0,0,0,0,13.11,0,0,1.09,0,1.09,1.09,0,1.09,0,0
108-118,0,0,0,1.53,0.77,6.13,1.53,10.72,7.66,0.77,0,0,33.7,0.77,1.53,0.77,6.89,0.77,3.06,8.43,0,0.77,0,0,6.89,0,0,0.77,0,0,0,0,1.53,0.77,0.77
120,0,0,0,0,1.96,1.96,0,9.8,5.88,1.96,0,0,33.32,0,3.92,0,7.84,0,0,15.68,0,1.96,0,0,25.48,1.96,0,0,0,0,0,1.96,0,0,0
