stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,6.57,0.82,0,0,0,0,0,0,4.1,0,0,1.64
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,8.06,9.67,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,2.3,2.3,0,0,0.57,0,0,1.72,0,0,6.89,13.2,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,5.89,1.96,0,0,0,0,0,1.96,0,0,9.82,8.83,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,1.96,0,15.71,4.91,0,0,0,0,0,17.67,0.98,0,10.8,25.52,0,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,0,2.12,0,0,0,37.17,3.19,2.12,0,0,0,0,20.18,0,0,7.43,15.93,0,1.06,1.06,0,0,0,1.06,2.12,0,0
 96-106,0,0,3.28,0,0,2.19,78.68,8.74,4.37,1.09,0,0,0,34.97,0,0,12.02,32.79,0,2.19,0,1.09,0,0,1.09,2.19,0,0
108-118,0,0,4.6,0,0.77,0,88.09,1.53,7.66,0,0,0.77,0,34.47,0,0,6.89,15.32,0,0.77,0,0.77,0,0,0.77,3.06,0.77,0.77
120,0,0,0,0,1.96,0,45.08,3.92,9.8,0,0,0,0,35.28,0,0,7.84,17.64,0,1.96,0,0,1.96,0,0,1.96,0,0
