stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,3,0,0,1,0
 24-34,0,0,4.93,0,1.64,0,1.64,0,0.82,0,0,0,0.82,0,6.57,0,2.46,41.86,0,0,0,0,0,0,0,13.13,0,0,0.82,0
 36-46,0,0,6.45,0,3.22,0,1.61,0,0,0,0,0,0,0,13.7,1.61,4.83,80.57,0,0,0.81,0,0,0,1.61,11.28,0,0,0,0
 48-58,0,0,2.87,0,8.03,0,0.57,0.57,0,0.57,0,0,0,0,10.33,0,2.3,108.45,0.57,0.57,0,0,0,1.15,1.15,11.48,0,0,0,0
 60-70,0,0,4.91,0,67.73,0,1.96,0.98,1.96,0,1.96,0,0,0,47.11,0,1.96,306.23,0,0,0.98,0,0,1.96,0.98,14.72,2.94,0.98,0,0
 72-82,0,0.98,3.93,0,66.75,0,0,1.96,11.78,0,0,0,0,0,45.16,0.98,1.96,195.35,0,0,2.94,0,0.98,0,0,11.78,2.94,0.98,0,0.98
 84-94,0,0,10.62,0,41.42,0,2.12,1.06,6.37,0,0,0,0,0,28.68,3.19,0,123.2,1.06,0,3.19,0,0,4.25,0,11.68,2.12,1.06,0,0
 96-106,0,0,7.65,1.09,41.53,1.09,0,0,3.28,0,1.09,0,2.19,1.09,37.16,0,3.28,90.71,0,0,3.28,0,0,3.28,0,3.28,0,1.09,0,1.09
108-118,0,0,3.06,0,29.87,0,2.3,0,4.6,0,0.77,0.77,0,0.77,22.98,0.77,0.77,80.43,0,0,3.06,0,0,1.53,0,3.06,2.3,0,0,0
120,0,0,5.88,0,33.32,1.96,3.92,0,1.96,0,0,0,0,0,29.4,0,1.96,78.39,1.96,0,0,0,0,0,0,0,1.96,0,0,0
