stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,1,3,0
 24-34,0,0,1.64,0,0,4.93,0,0,0,0.82,0,0,2.46,0,1.64,21.34,1.64,0.82,0,0,0,0.82,0,0.82,3.28,4.93
 36-46,0,0,0,0,0,8.06,0,0.81,0,0,0,0.81,1.61,0,0,24.98,0,0,0,0,0,0,0,0,5.64,0.81
 48-58,0,0,0,0,0,17.21,0,3.44,0,0,0.57,0,3.44,0,0,18.36,0,0,1.15,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0,0,23.56,0.98,2.94,0,0,0,0,7.85,0.98,0.98,22.58,0,0,0,0,0.98,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,0,28.47,0,6.87,0,0,0,0,9.82,0,0.98,14.72,0,0,0,0,0,1.96,0,0,1.96,0
 84-94,0,0,0,0,0,11.68,0,6.37,0,1.06,0,0,11.68,0,0,8.5,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,15.3,0,6.56,0,0,0,0,9.84,0,1.09,8.74,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,15.32,0,1.53,0.77,0,0,0,5.36,0,1.53,8.43,0,0,1.53,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,3.92,1.96,1.96,0,0,0,0,5.88,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96
