stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,7,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,23,0,0,1,0,0,0,1,0,3,18,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,108.35,0,0,0.82,0,0,2.46,0,0.82,0,33.66,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,18.53,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,1.61,4.03,0.81,0,0,350.47,0.81,0.81,0,0,0,3.22,0,1.61,0,50.76,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,100.42,0,0,0.57,10.33,0,0.57,0,0,0,0,0,0.57,1.15,6.89,0,0,0.57,530.77,0,1.72,0.57,0,0,2.3,0,1.15,0,71.15,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,0,266.97,0.98,0,0,6.87,1.96,0,0.98,0,0,1.96,0,0,0.98,16.69,0,0,0.98,1181.75,0,1.96,0.98,0,0,5.89,0,3.93,0,91.28,0,0,0,0.98,1.96
 72-82,0,0,0.98,0,7.85,2.94,0,355.36,0,0.98,1.96,29.45,0.98,0,0.98,2.94,0,0,0,0,3.93,26.5,1.96,1.96,0.98,1320.34,0,2.94,0.98,0,0,4.91,0,5.89,0,68.72,3.93,0,1.96,0.98,0.98
 84-94,0,0,1.06,1.06,6.37,2.12,0,189.04,1.06,1.06,2.12,27.61,5.31,0,0,1.06,0,4.25,2.12,0,3.19,21.24,0,0,1.06,651.03,4.25,0,1.06,0,0,10.62,0,1.06,0,32.92,4.25,1.06,1.06,0,0
 96-106,0,0,1.09,0,7.65,1.09,0,113.66,0,0,0,18.58,4.37,0,0,2.19,0,0,0,0,1.09,7.65,2.19,2.19,0,495.06,0,1.09,1.09,0,0,7.65,0,1.09,0,9.84,2.19,0,1.09,1.09,1.09
108-118,0,0,0,0,5.36,2.3,1.53,70.47,0,0.77,0,11.49,1.53,0,0.77,0.77,0.77,2.3,0,2.3,3.83,9.96,0.77,0.77,0,524.68,0.77,1.53,0,0,0.77,6.13,0,2.3,0,8.43,3.06,0.77,2.3,2.3,2.3
120,0,0,0,0,9.8,3.92,3.92,41.16,0,0,0,13.72,1.96,0,0,0,0,0,0,0,1.96,7.84,0,0,1.96,536.98,1.96,1.96,0,0,0,0,0,3.92,0,17.64,0,0,0,1.96,0
