stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,6.57,0,66.49,0,1.64,0,0,3.28,0,0.82,0
 36-46,0.81,0.81,0.81,0.81,4.83,0,0,14.5,2.42,63.65,0,0.81,0,0,0.81,0,0.81,0
 48-58,0,2.3,0,0,8.61,0,0,30.41,1.15,35.58,0,0.57,0,0,2.3,1.15,2.3,0
 60-70,0,0,0,2.94,9.82,0.98,0,45.15,0.98,23.56,0,0,0,0,5.89,0,4.91,0
 72-82,0,1.96,0,1.96,0.98,0,0,73.62,0.98,17.67,0,0,0,0,1.96,0.98,7.85,0.98
 84-94,1.06,4.25,0,1.06,2.12,0,0,54.16,0,4.25,0,1.06,0,0,1.06,0,4.25,0
 96-106,0,0,0,1.09,1.09,0,2.19,30.6,0,2.19,0,1.09,0,0,0,1.09,2.19,0
108-118,0.77,1.53,0,1.53,0,0,0,20.68,0,7.66,0,2.3,0,0.77,0.77,0.77,3.06,0
120,0,1.96,0,0,1.96,0,0,17.64,1.96,9.8,1.96,0,0,0,0,0,5.88,0
