stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
 24-34,0,1.64,0.82,1.64,0,0,1.64,0,0.82,0,0,0,0,0,0,1.64,0.82,1.64,0,0,0,4.93,0,0,0,0,0,0.82,1.64,0,0.82,5.75,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0.81,2.42,0,0,0,0,0,0,2.42,0,5.64,0,0,0,7.25,0,1.61,0,0,0,2.42,0,0,0,4.03,0,0,0
 48-58,0,0,0,2.87,1.15,0,0.57,1.72,6.31,0.57,0,0,0,0,0,2.3,0,6.89,0,0,0,12.62,0.57,0.57,0,0,0,2.3,0,0,0,5.16,0,0.57,0
 60-70,0,0,0,4.91,0.98,0.98,0.98,0.98,23.56,1.96,0,0.98,0.98,0,0.98,0.98,0,11.78,0,0,2.94,10.8,0,1.96,0,0,0,3.93,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,3.93,1.96,0.98,0,0.98,36.32,4.91,0,0.98,0,0.98,0.98,2.94,0,24.54,0.98,0,3.93,20.61,0,0,0.98,0,0,0,0.98,0,0,3.93,0.98,0,0.98
 84-94,0,1.06,0,10.62,3.19,1.06,1.06,2.12,16.99,4.25,0,3.19,0,0,0,3.19,0,12.74,1.06,0,3.19,10.62,0,0,1.06,0,0,2.12,2.12,0,0,0,0,0,0
 96-106,0,2.19,0,9.84,6.56,0,5.46,3.28,16.39,4.37,0,1.09,0,1.09,0,3.28,0,22.95,0,0,5.46,13.11,0,0,0,0,0,1.09,2.19,0,0,1.09,2.19,2.19,2.19
108-118,0,1.53,0,10.72,6.13,0,3.06,3.83,22.21,12.26,0,3.06,0.77,0,0.77,6.13,1.53,22.21,0,1.53,3.06,9.19,0,0,0.77,0,0,1.53,1.53,0.77,0,1.53,2.3,0.77,1.53
120,0,1.96,0,3.92,3.92,1.96,3.92,0,17.64,15.68,0,3.92,0,0,1.96,5.88,0,15.68,0,0,1.96,19.6,1.96,1.96,3.92,0,1.96,0,1.96,0,0,1.96,0,1.96,0
