stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,10,0,0,0,0,0,1,0,1,8,0,0,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,5.75,0,2.46,55.82,3.28,1.64,0.82,0,3.28,0,0,1.64,0,14.78,0,0,0,0,0
 36-46,0,0,0.81,0,0,7.25,0,0,0,1.61,0,0.81,0,0,0,0,0,4.03,0,1.61,87.82,0,0,0,0,8.06,0.81,0,0,0,44.31,0,0,0,0,0
 48-58,0,0,0,0,0,12.62,0,0,0.57,0.57,0.57,0,0,0,0,0,0,3.44,0,0.57,103.28,0,0.57,0.57,0.57,1.15,0,0,0,0,25.25,0,0,0,0,0
 60-70,0,0.98,0,0,0,102.08,0,0,0,5.89,0,0,0,0,0.98,0.98,0,4.91,0,0,248.33,0,0.98,0,0,2.94,0,0,0,0,52.02,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,194.37,0,0,0.98,10.8,0,0,0,0,0,0,0,8.83,0,0,350.45,0,1.96,0,0,0,0,0,0,0,31.41,0.98,0.98,0.98,0.98,0
 84-94,0,0,2.12,1.06,0,96.65,0,0,0,11.68,0,0,1.06,0,0,0,0,13.81,1.06,1.06,164.62,0,0,9.56,0,0,0,0,1.06,0,26.55,0,0,0,0,0
 96-106,0,0,3.28,0,1.09,98.36,0,0,0,13.11,0,0,1.09,0,0,0,1.09,12.02,0,1.09,210.92,0,1.09,1.09,0,3.28,0,0,0,0,17.49,0,1.09,2.19,0,1.09
108-118,0,1.53,3.06,0,0,92.68,1.53,0,0,13.02,0,0.77,0,0.77,0,0,0.77,7.66,0,3.06,209.87,0,2.3,3.06,0,0.77,0,0,0.77,0,13.02,0,0,0,0,0
120,0,0,1.96,0,0,56.83,0,1.96,1.96,7.84,0,0,0,0,0,0,1.96,0,0,3.92,223.42,0,3.92,3.92,0,0,0,0,0,0,15.68,0,0,0,0,0
