stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,25,1,0,1,0,0,0,1,3,0,1,0,0,0,0,0,10,0,0,2,13,0,0,0,0,0,0,1,3,2,0,11,0,0,0,0,0
 24-34,0,0,0,1.64,9.85,0,0,5.75,0,0,0,6.57,6.57,0,4.1,0,0.82,0,2.46,0,25.45,0,0,7.39,109.17,0,0.82,0.82,0,0.82,0,0,0.82,0,0.82,54.18,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,6.45,0.81,0,1.61,20.95,1.61,0,3.22,0,0,0,0,0,31.42,0,3.22,6.45,312.6,0,1.61,1.61,0,0.81,0.81,0,0,0,0,100.71,0,0.81,0,0,0
 48-58,0,0,0,0,5.16,0.57,0,24.67,0.57,0,2.87,76.89,1.72,0,1.15,0,0,0,0.57,0.57,49.35,0.57,3.44,5.16,528.47,0.57,0.57,2.3,0,0.57,1.15,0,0,0.57,0,130.83,0,0,0,0.57,0
 60-70,0,0,0,0,3.93,0,0,61.84,0,0.98,0.98,166.86,0.98,0,0,0,0,0,0.98,0,100.12,0,1.96,0.98,1149.36,2.94,1.96,2.94,0,0.98,5.89,0,0.98,0,0,200.23,0,0,0.98,0.98,0.98
 72-82,0,0,0.98,0,11.78,0.98,0,114.85,0,0.98,4.91,200.26,0,0.98,0,1.96,0,0.98,0.98,0,151.18,0.98,2.94,6.87,1348.8,0,0.98,2.94,0,0,1.96,0,0,0,0,107.98,0,2.94,1.96,2.94,1.96
 84-94,0,0,2.12,0,15.93,4.25,0,95.58,0,0,0,109.39,4.25,1.06,0,0,1.06,0,3.19,0,99.83,0,2.12,5.31,681.83,0,1.06,12.74,0,0,0,0,2.12,0,0,56.29,0,2.12,3.19,6.37,1.06
 96-106,0,0,2.19,0,12.02,5.46,1.09,95.08,2.19,0,1.09,112.56,1.09,0,0,0,1.09,0,0,0,127.86,0,2.19,3.28,649.15,2.19,1.09,24.04,0,0,4.37,0,0,0,0,24.04,1.09,1.09,0,5.46,1.09
108-118,0,0,0.77,0,14.55,3.06,1.53,44.43,0.77,0,4.6,120.26,2.3,0,0,0,0,0.77,3.06,0,110.3,1.53,2.3,2.3,720.01,1.53,0.77,16.09,0,0,1.53,0,0.77,0,0,22.21,0,3.06,1.53,3.06,1.53
120,1.96,0,0,0,15.68,0,1.96,58.79,0,1.96,3.92,94.07,3.92,0,1.96,3.92,0,1.96,1.96,0,62.71,0,1.96,5.88,938.74,1.96,0,13.72,0,0,0,0,0,0,0,19.6,0,0,3.92,0,0
