stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0.82,0,0,0,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,5.64,0,1.61,0,0,0,0,1.61,0
 48-58,1.15,0,2.87,0,0,0,0,0,0,0,0.57,0,0,11.48,1.15,0.57,0,0,0,0,2.3,0
 60-70,0.98,0,15.7,0,0,0,0,0,0,0,1.96,0,0.98,31.41,0,0.98,0.98,0,0.98,0,2.94,0
 72-82,0,0.98,21.6,0,0.98,0,0,0.98,0,0,2.94,0,0,42.21,0,0,1.96,0,0,0,0,0
 84-94,1.06,0,18.05,0,1.06,1.06,0,1.06,0,0,1.06,0,0,22.3,0,0,0,0,0,0,0,1.06
 96-106,0,0,29.51,0,0,0,0,0,0,1.09,4.37,0,1.09,24.04,0,0,1.09,0,1.09,0,1.09,0
108-118,0.77,0.77,36,0,0.77,0,1.53,0.77,0.77,0,3.06,0.77,0,17.62,0,0.77,0.77,0,0,0,0.77,0
120,1.96,0,29.4,1.96,1.96,0,0,0,0,0,1.96,1.96,0,23.52,1.96,0,0,0,0,0,1.96,0
