stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,13.14,0,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,107.78,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,0,2,9,1,0,2,1,0,1,2,1,0,3,2,0,1,0,0
 24-34,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,1.64,0.82,2.46,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0.81,0,6.45,0,1.61,8.06,0,0,0,0,0,0.81,0,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,1.72,0,0.57,8.03,0,0,0,0.57,0,0,0,0,7.46,0,2.3,2.3,0,0,0,0,0,0.57,0,0,0,0,2.3,0,1.15,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,23.56,0,0,0,0,0.98,0,0,0.98,12.76,0,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,2.94,0,0,58.9,0,0,0.98,0.98,0.98,1.96,0,0,8.83,0.98,0,14.72,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0.98,2.94,0.98,0
 84-94,0,0,0,0,1.06,0,6.37,0,0,54.16,0,0,0,0,0,0,2.12,0,13.81,0,0,4.25,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,3.28,0,8.74,2.19,0,72.13,0,0,0,3.28,2.19,0,4.37,0,15.3,2.19,3.28,10.93,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,5.46,1.09,1.09
108-118,0,0,0,0,0,0.77,3.06,0,1.53,70.47,0.77,0,0,1.53,2.3,0.77,8.43,0.77,6.89,0,0,7.66,0,0,0,0,0,1.53,0,0,0.77,0,1.53,0,0,0.77,0.77
120,0,0,0,5.88,0,0,13.72,0,0,37.24,0,0,0,1.96,0,0,13.72,1.96,5.88,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0
