stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,2.63,2.63,0,2.63,0,0,39.43,5.26,0,18.4,0,0
 10-12,0,0,0,9.44,0,0,0,0,40.91,0,0,9.44,3.15,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
