stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,10,2,0,0,1,0,0,0,0,0,89,0,0,90,53,0,0,0,0,0,0,1,2,4,0,2,27,0,0,0,0,0
 24-34,0,0,0.82,0,6.57,0,6.57,0,0,9.03,0,0.82,0,0,0,76.34,0,0,10.67,171.56,0,0.82,0.82,0,0,0,0,0,1.64,0,0,39.4,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,7.25,0,0.81,1.61,1.61,0,0,0,0,52.37,0,2.42,11.28,456.01,0,1.61,0,0,0,1.61,0,0,0.81,0,0,37.06,0,0.81,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,30.41,0,0.57,6.89,1.72,0,0,0.57,0,53.36,0,2.3,5.74,706.93,0,2.3,0.57,0,0,0,0,0,1.15,0.57,0,67.71,0,0.57,1.72,0,1.15
 60-70,0,0,0.98,0,2.94,0,64.78,0,0,14.72,1.96,0,0,0,0,62.82,0.98,2.94,2.94,1212.18,0,1.96,0.98,0,0,0,0,0,0,0,0,83.43,0,0.98,1.96,0,0
 72-82,0,0,0.98,0,5.89,0,107.98,0.98,1.96,25.52,0.98,0,0.98,0,0.98,67.73,0,5.89,4.91,1045.47,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0,57.92,0,1.96,7.85,2.94,0.98
 84-94,0,0,0,0,4.25,2.12,80.71,0,0,11.68,0,0,0,2.12,0,30.8,0,5.31,2.12,486.41,0,0,0,0,2.12,0,0,0,1.06,0,0,31.86,0,1.06,6.37,3.19,0
 96-106,0,0,1.09,0,7.65,0,66.66,0,1.09,9.84,1.09,1.09,1.09,1.09,1.09,30.6,1.09,0,3.28,398.89,0,1.09,1.09,0,1.09,0,0,0,1.09,0,0,25.14,3.28,0,5.46,3.28,1.09
108-118,0,0,0,0,6.89,0,36.77,2.3,0.77,10.72,0,0,0,0,1.53,15.32,0,0.77,3.06,405.19,0,3.06,1.53,0,1.53,0,0,0,1.53,0,0,13.79,0,0.77,5.36,0.77,0
120,0,0,0,0,7.84,0,48.99,1.96,0,9.8,0,3.92,0,0,1.96,27.44,0,3.92,0,376.28,0,5.88,0,0,1.96,1.96,0,0,0,0,0,19.6,0,0,5.88,1.96,0
