stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,132.17,3.15,0,0,34.62,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,13,0,0,10,0,0,2,1,0,5,0,0,0,0,0,11,0,0,10,76,0,0,0,1,0,2,7,1,21,19,0,0,0,0,0
 24-34,0,0,0,0.82,10.67,8.21,0,14.78,0,0,1.64,0,0,0.82,0.82,0,0.82,0.82,0.82,21.34,0,0,8.21,89.47,0,0,1.64,0,0,5.75,0,3.28,3.28,26.27,0,0,0,0,0
 36-46,0,0,0,0,5.64,9.67,0,14.5,0,4.03,1.61,0,0,0,0,0.81,0.81,0,0,16.11,0,0,4.83,51.56,0,0,1.61,0,0,12.09,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,2.87,15.49,0,12.05,1.72,6.89,2.87,0,0,2.3,0,0,0,0,0,43.61,0,0.57,4.59,22.95,0,0,2.87,0,0,23.53,0,1.72,0,4.59,0,0.57,0.57,0,0
 60-70,0.98,0,0,0,20.61,42.21,0,11.78,0,11.78,5.89,0,0,0,0,0,0,0,0,91.28,0.98,0.98,3.93,16.69,0,0.98,3.93,0,0.98,62.82,0,0,0,2.94,0,0.98,0,0,0.98
 72-82,0,0,0.98,0,27.49,102.09,0,11.78,0.98,11.78,9.82,0.98,0,0.98,0,0,0,0,0,152.16,0.98,0,4.91,24.54,0,0,6.87,0,0,59.88,0,0.98,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,2.12,0,54.16,89.21,0,11.68,11.68,8.5,5.31,0,0,1.06,2.12,0,1.06,0,0,129.57,0,0,4.25,14.87,0,0,14.87,0,0,203.91,0,1.06,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,44.81,60.11,0,10.93,0,10.93,5.46,0,0,0,2.19,0,1.09,0,0,118.03,1.09,2.19,2.19,26.23,0,0,28.41,0,0,144.26,0,2.19,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0,56.68,43.66,3.06,9.96,3.83,11.49,11.49,0.77,0,0,3.06,0.77,1.53,0.77,0,115.66,0,1.53,6.89,24.51,0,2.3,26.81,0,0,62.04,0,0,0,0,0.77,0,0,0.77,0.77
120,0,0,1.96,0,25.48,43.12,1.96,11.76,3.92,11.76,3.92,0,0,3.92,0,0,1.96,1.96,0,143.06,3.92,0,7.84,31.36,0,5.88,25.48,0,0,19.6,0,0,0,0,0,0,0,0,0
