stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,10,33,0,12,0,0,0,5,0,2,1,0,1,0,0,1,4,0,0,1,366,1,18,0,0,0,0,1,0,0,3,144,0,0,7,0,0
 24-34,0,0,13.95,1.64,0,18.06,0.82,1.64,0,21.34,0,0.82,0,0,0,2.46,0,0.82,9.03,0,0,6.57,1506.27,0,125.59,5.75,0,0,4.93,0,0.82,0.82,0,416.99,0,0,12.31,0,0
 36-46,0,0,5.64,0,0,161.94,1.61,0.81,0.81,59.62,0,4.03,0.81,0,0,4.83,0,0.81,25.78,0.81,0,5.64,2993.87,0.81,120.04,6.45,0,0,3.22,0,0,2.42,0,739.6,0,1.61,5.64,0,0.81
 48-58,0.57,0,15.49,2.87,0,488.88,0,2.87,1.72,120.5,0,0,0,1.72,1.72,6.89,1.15,1.15,58.53,1.15,2.3,9.18,3881.79,1.72,88.94,5.74,0,0.57,8.61,0,0.57,2.3,0,849.81,0,1.15,2.3,0,1.72
 60-70,0,1.96,8.83,1.96,0,403.41,3.93,0.98,2.94,71.65,4.91,0.98,4.91,0.98,0,5.89,0,0,66.74,0,0,3.93,3866.21,1.96,87.36,10.8,0,0,10.8,0,0.98,0.98,0,610.51,0,2.94,10.8,0,4.91
 72-82,0,1.96,48.1,18.65,0,446.66,3.93,0.98,6.87,126.63,3.93,1.96,6.87,0.98,5.89,15.71,0,3.93,96.2,0.98,5.89,7.85,3280.71,0,156.08,15.71,0,0,8.83,0,0,1.96,0,421.13,0.98,5.89,16.69,2.94,9.82
 84-94,0,4.25,48.85,8.5,0,471.54,0,3.19,2.12,111.51,1.06,2.12,4.25,1.06,2.12,16.99,0,1.06,70.09,0,4.25,9.56,1987.07,0,169.93,23.36,0,0,13.81,0,1.06,1.06,0,265.51,4.25,7.43,7.43,6.37,2.12
 96-106,0,2.19,73.22,8.74,1.09,299.44,6.56,2.19,4.37,102.73,7.65,2.19,13.11,2.19,4.37,56.83,4.37,1.09,75.41,2.19,2.19,7.65,1616.32,2.19,278.68,18.58,0,2.19,28.41,0,1.09,1.09,0,107.1,2.19,3.28,9.84,3.28,2.19
108-118,0,1.53,31.4,8.43,1.53,225.19,1.53,2.3,0,59.75,8.43,0.77,3.83,2.3,1.53,33.7,3.06,0,68.17,0.77,3.06,5.36,2035.93,1.53,173.87,10.72,0,0,13.79,0,1.53,0,0,75.83,3.06,1.53,3.83,2.3,1.53
120,0,0,45.08,13.72,0,315.53,3.92,5.88,3.92,86.23,1.96,1.96,5.88,3.92,0,19.6,1.96,0,66.63,0,0,7.84,2363.5,1.96,168.54,19.6,0,1.96,5.88,0,3.92,0,0,96.03,0,1.96,7.84,0,0
