stage,blastomeres,eye,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,2,6,0,0,0,0,1,0,0
 24-34,0,0,2.46,0,1.64,0,0,0,0.82,3.28
 36-46,0,0,0,0,0.81,0,0,0,0,1.61
 48-58,0,0.57,0,0,0.57,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0.98,0,0,0.98,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0
120,0,3.92,0,0,1.96,0,0,0,0,0
