stage,blastomeres,epidermis,eye,fast_muscle,glial,liver,neural,periderm,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,4.59,0,6.31,0,2.3,0,0,0
 60-70,0,0,15.7,0,9.82,0,0.98,0,0,0
 72-82,0,0,25.52,0,11.78,0,2.94,0,0,0.98
 84-94,0,0,62.66,0,3.19,0,0,0,0,0
 96-106,0,0,73.22,0,7.65,0,1.09,1.09,1.09,0
108-118,0,0.77,81.19,0.77,6.13,0.77,2.3,0,0,0
120,0,1.96,39.2,0,1.96,0,3.92,0,0,0
