stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,7.89,0,0,0,0,0,7.89,2.63,0,23.66,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,5,4,4,1,0,1,0,7,1,1,11,2,0
 24-34,0,0,0,0,7.39,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,1.64,0,4.93,0,1.64,0,0,0,0.82,0,0
 36-46,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,5.64,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,1.15,0,0,0,0,0,1.72,0,0.57,0,2.87,0,7.46,0,3.44,0,0,0,0,0,0.57
 60-70,0,0,0,0,10.8,0,3.93,0,0,0,0,0,0,2.94,0,0,0,3.93,0,15.7,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,1.96,0,0.98,0.98,0,0,0,4.91,0,0.98,0,2.94,0,42.21,0,1.96,0,0,0,0,0,0
 84-94,0,0,1.06,0,13.81,0,0,3.19,0,0,0,0,0,1.06,1.06,0,0,1.06,0,61.6,0,3.19,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,5.46,0,3.28,1.09,0,0,0,0,0,2.19,1.09,0,0,4.37,0,71.04,0,4.37,0,0,0,0,0,0
108-118,0,0,0,0,15.32,0,2.3,4.6,0,0,0,0,0.77,10.72,0.77,0,0,3.83,0,48.26,0,4.6,0,0,0,0,0.77,0
120,0,0,0,0,15.68,0,0,7.84,0,0,0,0,0,0,0,1.96,0,5.88,0,64.67,0,1.96,0,0,0,0,0,0
