stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,1,0,0,0,0,0,1,50,0,0,0,0,0
 24-34,0,4.93,3.28,0,0,9.85,0,0,0,3.28,0,0,0,0,0,0,0,0,1.64,0,0,1.64,523.71,1.64,8.21,3.28,0,0,0.82,1.64,0.82,159.25,0,0,0,0,0
 36-46,0,4.03,1.61,0,0,24.17,0,0,0,7.25,0,0,0,0,0,0,0,0,7.25,0,0,2.42,1387.36,0,16.11,0.81,0,0,1.61,0,0,225.59,0,0,0,0,0
 48-58,0,1.72,3.44,0,0,90.66,0.57,2.3,1.72,21.8,0,0,0.57,0,0.57,0.57,0.57,0.57,19.51,0,0,2.87,1845.93,0,10.9,2.3,0,0.57,1.72,0.57,0,226.08,0,0.57,2.3,0,1.72
 60-70,0,0.98,6.87,0.98,0,276.79,0,0,0,52.02,0,0.98,2.94,0,0,0,0,0,18.65,0.98,0,1.96,2595.14,0,13.74,6.87,0,0,2.94,0,0,216.92,0,0,2.94,0.98,2.94
 72-82,0,1.96,20.61,4.91,0,439.78,0,0,2.94,83.44,0.98,0.98,4.91,0,0.98,1.96,1.96,0.98,47.12,0,2.94,2.94,2271.57,0,14.72,9.82,0,0.98,4.91,0.98,0,160.99,0.98,1.96,3.93,0,0.98
 84-94,0,1.06,22.3,4.25,0,354.72,2.12,1.06,0,60.54,4.25,1.06,2.12,0,2.12,0,1.06,0,25.49,0,4.25,1.06,1121.51,0,12.74,19.12,0,0,7.43,2.12,0,87.09,2.12,1.06,5.31,2.12,0
 96-106,0,0,17.49,5.46,0,277.58,0,2.19,2.19,76.5,1.09,2.19,5.46,1.09,0,3.28,3.28,0,46.99,1.09,4.37,2.19,968.26,3.28,24.04,22.95,0,0,10.93,0,0,39.34,1.09,1.09,1.09,6.56,0
108-118,0,1.53,16.85,3.83,0.77,170.81,0.77,3.06,0.77,55.92,0,0.77,1.53,0,2.3,1.53,0.77,0,25.28,0,0.77,2.3,1060.09,0,16.85,14.55,0,0.77,3.83,1.53,0,29.11,0,0.77,6.13,3.06,0.77
120,0,1.96,7.84,3.92,1.96,170.5,0,1.96,1.96,58.79,0,3.92,3.92,0,0,1.96,0,1.96,29.4,0,1.96,5.88,1326.77,0,7.84,17.64,0,1.96,7.84,0,0,45.08,0,0,1.96,7.84,0
