stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,57.83,2.63,0,13.14,2.63,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,56.65,0,0,12.59,0,3.15,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,1,5,0,0,0,0,1,1,1
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0,9.85,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,1.61,0,4.83,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
