stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,337.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,2.63,0,2.63,0,0,0,21.03,0,0,13.14,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,40.91,3.15,0,31.47,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,1,0,0,0,0,2,1,11,1,0,0,0,9,1,1,3,0,1
 24-34,0,0,0,0,0,0.82,0,0,0,2.46,0.82,4.1,0,0.82,0,0,0,0,0.82,7.39,0,0.82
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,1.61,0,0,0,0,4.83,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0.57,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0,2.94,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,3.19,1.06
 96-106,0,0,0,2.19,0,0,0,0,0,2.19,0,2.19,0,0,0,0,2.19,0,0,0,2.19,0
108-118,0,0,0,0.77,0,1.53,0,0,0,1.53,0.77,2.3,0,0,0,0,2.3,0,0,0,8.43,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0
