stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,44.69,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,4,0,0,0,0,0,0,0,2,34,1,0,0,0,0,1,1,0,3,3,0,0,0
 24-34,0,0,0,0,0.82,1.64,0,0.82,0,0,0,0,1.64,0,14.78,0,0,0,0,0,0,0,0.82,1.64,1.64,0,0,0.82
 36-46,0,0,0,0,0,2.42,0,2.42,0,0,0,0,2.42,0,10.47,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,1.72,0.57,1.72,0,0,0,0,1.15,0.57,3.44,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,3.93,0,3.93,0,0,0,0,1.96,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,1.96,7.85,0,0.98,0.98,0,5.89,0,10.8,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,4.25,0,0,0,0,1.06,1.06,7.43,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,2.19,0,3.28,0,1.09,0,0,9.84,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.06,0,5.36,0,0,0,0.77,9.19,0.77,10.72,0.77,0,0,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
