stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,68.35,7.89,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,35,12,0,0,0,0,0,1,1,0,0,5,0,0,0,0,20,0,0,10,17,1,0,0,1,0,2,1,4,1,1,3,16,0,0,7,0,0
 24-34,0,0,0,0.82,36.94,0.82,0,0.82,0,4.1,0,1.64,0.82,0,3.28,19.7,0.82,0,2.46,0,41.04,1.64,1.64,22.16,35.3,8.21,4.1,0.82,0,0.82,30.37,0,0,0,0,0,16.42,0,0,41.86,0,0
 36-46,0,0,0,0,19.34,0,0,6.45,0,4.83,2.42,2.42,0,0,0.81,14.5,0.81,0,3.22,0,44.31,0.81,0.81,16.92,41.89,2.42,2.42,2.42,0,0,17.72,0,0,0,0.81,0,10.47,0,0,19.34,0,0.81
 48-58,0,0,0,0,19.51,0,0,7.46,0,4.59,5.16,6.31,0.57,0,2.3,26.97,0,0,2.3,0,83.78,1.15,1.72,24.67,33.28,4.02,4.59,2.3,0,0,16.64,0,0,2.3,0,0,8.61,0,1.15,30.41,0.57,1.72
 60-70,0,0,0,0,33.37,0,0,11.78,0,11.78,7.85,22.58,1.96,0,0,25.52,0,1.96,1.96,0.98,155.08,0,1.96,17.67,37.3,3.93,2.94,0.98,0,3.93,35.33,0,0,4.91,0,0,5.89,0,1.96,37.3,0,0.98
 72-82,0,0,1.96,0,33.38,0.98,0,18.65,0,11.78,11.78,71.66,11.78,0,1.96,51.05,0.98,0.98,5.89,6.87,296.46,3.93,7.85,37.3,46.14,1.96,12.76,6.87,0,5.89,20.61,0,0,0.98,0,0,6.87,1.96,6.87,74.61,6.87,0
 84-94,0,0,4.25,0,69.03,1.06,1.06,19.12,0,11.68,10.62,29.74,18.05,0,2.12,66.91,3.19,3.19,11.68,25.49,179.48,4.25,13.81,24.43,32.92,4.25,29.74,4.25,0,3.19,69.03,0,0,6.37,0,0,2.12,5.31,7.43,49.92,11.68,0
 96-106,0,0,1.09,0,75.41,2.19,1.09,26.23,2.19,13.11,8.74,45.9,28.41,0,10.93,80.87,3.28,2.19,10.93,92.89,225.13,2.19,6.56,28.41,71.04,1.09,39.34,5.46,0,5.46,55.74,0,0,3.28,0,0,1.09,1.09,2.19,57.92,8.74,2.19
108-118,0,0,3.06,0,78.13,0.77,1.53,13.02,0,24.51,10.72,28.34,32.17,0,3.83,57.45,4.6,6.13,8.43,153.96,199.15,4.6,8.43,19.15,44.43,8.43,23.74,6.13,0,11.49,28.34,0,0,3.83,1.53,0,0.77,4.6,2.3,45.96,9.19,1.53
120,0,0,0,1.96,80.35,0,1.96,7.84,0,11.76,3.92,21.56,15.68,0,3.92,70.55,3.92,5.88,0,94.07,107.79,1.96,3.92,11.76,35.28,7.84,15.68,1.96,0,17.64,54.87,0,0,5.88,0,0,1.96,1.96,1.96,37.24,5.88,0
