stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,3,0,1,5,0,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0.82,0.82,0.82,0,0.82,0,0,0,0,0,5.75,0,0,3.28,15.6,0,0,0,0,0,0,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0,0,0,9.67,0,0,0.81,8.86,0,0,0,0,0,0.81,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0.57,0,0,4.02,0,0.57,2.3,0,0,0,0,1.15,0,0,0.57,7.46,0,1.15,0.57,10.9,0,0,0,0,0,0,0,0.57,0,3.44,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0,0,0,6.87,0,0.98,0,6.87,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,1.96
 72-82,0.98,0,0.98,2.94,0,3.93,0,1.96,3.93,0,0,0.98,0,0,0,0,0.98,20.61,0,0.98,0,12.76,0,0.98,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,2.12,4.25,0,2.12,0,0,3.19,0,1.06,2.12,0,0,0,0,1.06,10.62,1.06,2.12,3.19,5.31,0,0,1.06,0,0,2.12,0,0,0,3.19,0,0,0,0
 96-106,0,0,2.19,2.19,0,1.09,1.09,0,2.19,0,1.09,0,2.19,1.09,0,1.09,1.09,8.74,0,0,0,5.46,0,0,0,0,1.09,3.28,0,0,0,0,0,1.09,0,0
108-118,0,0,1.53,0,0.77,4.6,0,0,5.36,0,0,0.77,0.77,2.3,1.53,0.77,0.77,13.02,0,0.77,0.77,9.96,0,0,3.06,0,0,0,0,0,0,0,0,1.53,2.3,0
120,0,0,0,1.96,1.96,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,9.8,0,1.96,0,3.92,0,0,1.96,0,0,3.92,0,1.96,0,0,1.96,1.96,0,0
