stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,33.66,1.64,0,0,0,5.75,0,1.64
 36-46,0,0,0,0,0,0,12.89,0.81,0,0,0.81,0,0,0,132.94,3.22,0,0,0,23.36,0,2.42
 48-58,0,0,0.57,0,0,0,25.82,0.57,0,0,1.15,0,0,0,148.04,2.3,1.15,0,0,18.94,0,2.87
 60-70,0,0,0,0,0,0,39.26,0.98,0,0,3.93,0,0,0.98,235.57,2.94,0,0,0.98,24.54,0,6.87
 72-82,0,0,0,0,0,0,48.1,3.93,0.98,0,14.72,0.98,0,0.98,219.89,1.96,0,0,0,12.76,1.96,14.72
 84-94,1.06,0,0,0,0,0,40.36,2.12,0,1.06,12.74,0,0,1.06,122.13,6.37,4.25,0,0,6.37,0,10.62
 96-106,0,0,0,0,2.19,1.09,16.39,3.28,0,1.09,7.65,0,1.09,0,80.87,4.37,1.09,0,0,3.28,1.09,10.93
108-118,0,0,0.77,0,0,0,16.85,2.3,0,0.77,5.36,0,0,0,84.26,3.83,0.77,0,0,1.53,0,6.13
120,0,0,0,0,1.96,0,9.8,3.92,0,0,3.92,0,0,1.96,117.59,0,0,0,0,3.92,0,1.96
