stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,34.62,3.15,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,8,1,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,4,20,0,0,1,2,2,0,15,0,0,33,13,0,0,1,0
 24-34,0,0,0,2.46,0,2.46,0.82,0,0,2.46,0.82,0,0,0,2.46,0.82,0,3.28,0,0,0.82,25.45,0,0,0.82,0,5.75,0,0,0,0.82,2.46,12.31,0,0,1.64,0
 36-46,0,0,0,0,0,4.03,0,0,0,6.45,0,0,0,0,0,0,0,5.64,0,0,0.81,81.37,0,0,0,0,12.09,0,0,0.81,0,0,20.14,0,0,0.81,0
 48-58,0,0,0,1.15,0,13.2,0,0,0,9.75,0,0,1.72,0,0,0,0,10.9,0,0,1.15,85.5,1.72,1.15,0.57,0,1.15,0,0,0,0.57,0,18.94,0,0.57,0,0
 60-70,0,0,0,3.93,0,14.72,0,0,0,14.72,0,0,0.98,0,0,0,0,11.78,0,0.98,0.98,44.17,0,1.96,0,0,1.96,0,0,0,0,0,10.8,0,0,1.96,0
 72-82,0,0,0,0.98,0.98,41.23,0,0,1.96,22.58,0,0,0,0,0.98,0,0,25.52,0.98,2.94,2.94,121.73,0,0,0,0,1.96,0,0,0,0,0,14.72,0,0,1.96,0.98
 84-94,0,0,0,1.06,0,15.93,0,0,0,13.81,0,0,0,0,1.06,0,0,4.25,0,0,0,25.49,0,0,0,0,5.31,0,0,1.06,0,0,11.68,1.06,1.06,0,0
 96-106,0,0,0,2.19,0,15.3,1.09,0,2.19,9.84,2.19,0,0,0,0,1.09,0,15.3,0,0,4.37,39.34,0,1.09,1.09,0,15.3,0,0,0,0,0,0,2.19,0,0,1.09
108-118,0,0,0,3.83,0,5.36,0,0.77,0,4.6,0,0,0,0.77,1.53,0,0.77,2.3,0,0,1.53,18.38,0.77,0,0.77,0,7.66,0,0,0.77,0,0,0.77,0.77,0,0.77,0
120,0,0,0,11.76,0,17.64,0,0,0,7.84,0,0,0,1.96,0,0,0,5.88,1.96,0,1.96,35.28,0,1.96,1.96,0,25.48,0,0,0,0,0,0,0,0,3.92,0
