stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,9,1,1,0,0,0,0,0,3,0,2,10,3,0,0,0,0
 24-34,0,0,0,0,3.28,1.64,0,0.82,0.82,0,1.64,0,0,0,0.82,9.03,0,11.49,21.34,6.57,0.82,0.82,0,0,0,0,0,0.82,2.46,3.28,4.1,0,2.46,0,0
 36-46,0,0,0,0,1.61,4.83,0,0.81,0.81,0,0,0,0,0.81,0,7.25,0.81,1.61,10.47,5.64,0,0,0,0,0.81,0,0,0,0.81,0,3.22,0,0,0,0
 48-58,0.57,0,1.15,0,5.16,3.44,0,2.3,1.15,0,0.57,0.57,0,0,0,22.95,0.57,5.74,8.61,3.44,0,0.57,0,0,0,0,0,0,0.57,0,4.02,0,0.57,0,1.72
 60-70,0,0,0,0,1.96,0,0,0.98,2.94,0,0,0,0,0,0.98,23.56,0.98,2.94,8.83,9.82,0,0,0,0,0,0,0,0.98,0.98,0,0,1.96,1.96,0,0
 72-82,0,0,0,0,1.96,0.98,0,0.98,12.76,0,2.94,0,0,0,0,73.62,4.91,13.74,15.71,2.94,0,0,0,1.96,0,0,0,0,0.98,0,1.96,2.94,1.96,3.93,0.98
 84-94,0,0,3.19,0,6.37,2.12,0,0,8.5,0,0,0,0,0,0,39.3,1.06,12.74,4.25,5.31,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06,2.12,1.06
 96-106,0,0,0,0,3.28,1.09,0,0,3.28,0,1.09,0,1.09,2.19,1.09,38.25,4.37,14.21,9.84,6.56,0,1.09,0,2.19,1.09,0,0,0,0,0,2.19,3.28,2.19,3.28,0
108-118,0,0,3.83,0,3.83,1.53,0.77,0,6.13,0,0.77,0,0,0,0,31.4,5.36,13.79,6.89,3.83,0,0.77,0,1.53,0,0,0,0,0,0,0.77,1.53,0.77,0.77,3.06
120,0,0,0,1.96,0,3.92,0,1.96,3.92,0,0,0,0,0,0,25.48,1.96,9.8,3.92,7.84,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,3.92,0
