stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,40.22,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,10.47,0,0,1.61,0,0,3.22,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,12.62,0,0,0.57,0,0,4.02,0,0,0,0,1.15,0,0,0,0.57,0
 60-70,0,7.85,0,0,3.93,0,0,4.91,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,13.74,0,0,0,0,0,9.82,0,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,55.23,0,1.06,12.74,1.06,0,11.68,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,40.44,0,0,3.28,0,0,20.76,0,1.09,1.09,0,2.19,0,0,0,1.09,0
108-118,0,33.7,0,0,7.66,0,1.53,17.62,0,0,0,0,0,0.77,0.77,0,0.77,0
120,0,25.48,0,0,1.96,0,0,17.64,1.96,0,0,0,0,0,0,0,0,0
