stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,2411.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,2690.91,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,49.04,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,73.6,0,42.06,0,0,0,268.13,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,1771.75,44.69,0,0,541.51,2.63,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,69.23,0,50.35,0,12.59,0,207.7,0,0,0,0,0,44.06,0,0,0,0,0,3.15,0,0,0,0,0,1815.8,9.44,0,0,632.54,0,6.29,3.15,56.65,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,11,205,35,0,155,0,0,0,12,1,8,1,0,20,0,0,34,12,62,1,0,40,869,8,1,15,20,3,0,91,5,0,76,214,0,0,1,0,44
 24-34,0,0,0.82,6.57,180.59,1.64,0,116.56,0,0.82,0,4.93,1.64,0,0.82,0.82,76.34,9.85,1.64,32.83,32.01,73.88,12.31,0.82,31.19,545.05,3.28,1.64,5.75,0,17.24,0,0.82,1.64,0.82,4.93,73.88,0,0,4.1,0,147.75
 36-46,0,0,0,0.81,58.81,0.81,0,80.57,0,0.81,0.81,12.89,0.81,0,0,0,16.92,23.36,0,12.89,41.09,44.31,3.22,1.61,11.28,237.67,2.42,1.61,2.42,0,2.42,0.81,0,0.81,0.81,0,24.98,0,0,2.42,0,140.19
 48-58,0,0,0,0,25.25,0.57,0,71.73,0,0.57,1.72,14.92,3.44,0,0.57,0,4.59,40.74,0.57,5.16,21.8,32.71,0,1.72,10.9,107.3,0,2.87,3.44,0,2.87,0,0,0,0,0,14.35,0,0,1.72,0,165.26
 60-70,0,0,0.98,0,11.78,0.98,0,69.69,0,0.98,0.98,15.7,5.89,0,0.98,0,5.89,79.5,0.98,5.89,8.83,35.33,0,0,3.93,61.84,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0.98,1.96,0,143.3
 72-82,0,0,0,0,5.89,1.96,1.96,53.99,0,1.96,2.94,15.71,10.8,0,0,0,3.93,72.64,0,6.87,6.87,62.83,0.98,2.94,11.78,66.75,1.96,0.98,0.98,0,4.91,0,0,0.98,0,0,1.96,0,0,2.94,0,104.06
 84-94,0,0,3.19,0,12.74,6.37,3.19,43.54,0,1.06,2.12,13.81,3.19,0,0,1.06,13.81,101.96,0,10.62,3.19,48.85,1.06,1.06,15.93,54.16,0,1.06,3.19,0,7.43,0,0,0,0,0,1.06,2.12,0,1.06,0,90.27
 96-106,1.09,0,0,1.09,17.49,5.46,0,37.16,1.09,1.09,0,25.14,4.37,0,2.19,4.37,15.3,83.06,2.19,8.74,0,39.34,0,1.09,10.93,60.11,0,4.37,3.28,0,9.84,0,0,0,0,0,1.09,0,0,1.09,2.19,78.68
108-118,0,0,2.3,0.77,36,6.89,3.83,27.57,0,0,3.83,17.62,2.3,0,0,3.83,11.49,119.49,1.53,17.62,3.06,39.06,0,0,19.15,70.47,0,3.06,2.3,0,16.09,0,0,1.53,0,0,0,0.77,0,4.6,0.77,80.43
120,0,0,1.96,0,62.71,7.84,5.88,39.2,0,7.84,3.92,11.76,5.88,0,0,9.8,9.8,78.39,0,15.68,0,43.12,1.96,0,27.44,72.51,1.96,0,1.96,0,17.64,0,0,0,0,0,0,0,0,3.92,1.96,31.36
