stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,250.38,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,649.74,1673.39,0,42.91,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,361.65,0,0,36.78,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,126.18,0,7.89,0,2.63,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,223.44,2.63,0,13.14,0,2.63,0,0,0,0,0,0,0
 10-12,0,22.03,0,191.97,0,84.97,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,151.05,3.15,0,22.03,0,0,15.73,0,0,0,0,0,0
 14-21,1,0,0,103,31,15,0,0,0,0,0,0,29,0,28,0,1,0,15,146,0,48,47,0,0,1,0,0,0,2,5,0,0,0,0
 24-34,0,0,1.64,49.25,5.75,1.64,0,1.64,0,0,0,1.64,11.49,0,31.19,0,0,0,28.73,57.46,1.64,17.24,29.55,0,0,0,0.82,0.82,0,0,1.64,0,0,4.1,0
 36-46,0,0,0,6.45,0.81,0.81,0,0,0,0,0,0,12.09,0,35.45,0,0,0,20.14,60.43,11.28,4.03,16.92,0,1.61,0,3.22,0.81,0,0,1.61,0,0.81,4.83,0
 48-58,0,0,0.57,4.02,1.72,0,0,2.3,0,0,1.15,1.72,20.66,0,25.82,0,0.57,0,13.2,29.26,7.46,5.74,12.62,0,0,0,5.74,0.57,0,0,2.87,0,1.72,2.3,0
 60-70,0,0,0.98,0,0.98,0.98,0,1.96,0,0,0.98,2.94,50.06,0,15.7,0,0,0,7.85,35.33,7.85,1.96,12.76,0,0,0,3.93,0,0,0,0,0,2.94,3.93,0
 72-82,0,0,12.76,0,0,0,12.76,4.91,0,0.98,0,0.98,94.24,0,18.65,0.98,0,0,9.82,31.41,17.67,3.93,23.56,0,0,0,6.87,0,0,0,0.98,0,6.87,9.82,0
 84-94,0,0,6.37,1.06,4.25,2.12,37.17,1.06,0,0,0,1.06,125.32,0,18.05,1.06,0,0,18.05,32.92,11.68,1.06,7.43,0,0,0,2.12,1.06,0,0,0,0,4.25,3.19,3.19
 96-106,0,0,7.65,2.19,4.37,0,49.18,6.56,1.09,0,1.09,2.19,158.46,0,32.79,0,2.19,0,18.58,32.79,12.02,4.37,30.6,0,0,0,5.46,2.19,0,0,1.09,1.09,7.65,7.65,5.46
108-118,0,0,9.19,2.3,4.6,0,108,0.77,0.77,0,0.77,3.06,150.13,0,13.02,0,0,1.53,22.21,23.74,16.09,0,25.28,0,0,0,5.36,1.53,0,0,1.53,0.77,9.19,5.36,2.3
120,0,0,0,0,5.88,0,41.16,3.92,0,0,0,0,131.31,0,13.72,0,0,0,25.48,21.56,5.88,0,23.52,0,0,0,5.88,1.96,0,0,0,0,5.88,1.96,5.88
