stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.89,0,0,3.93,0,0,0,71.66,0.98,0,6.87,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,5.31,1.06,0,0,269.76,0,0,4.25,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,5.46,0,0,3.28,1.09,0,1.09,399.98,8.74,0,38.25,0,1.09,1.09,1.09,0,0,0,2.19,0,0
108-118,0,0.77,0,3.06,0.77,1.53,2.3,0.77,0,0,839.5,6.89,0.77,31.4,0,0,3.06,0.77,0,0,0,0.77,1.53,0
120,0,0,0,3.92,0,0,0,1.96,1.96,0,391.96,0,1.96,23.52,0,0,0,0,0,0,1.96,0,0,1.96
