stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,neural,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,1.96,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,6.87,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,14.87,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,6.56,0,0,0,1.09,1.09,15.3,3.28,13.11,1.09,1.09,7.65,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0.77,0.77,0,0,18.38,0.77,19.92,1.53,0,3.83,1.53,4.6,0.77,0,0.77,0
120,0,0,0,0,0,1.96,0,0,13.72,0,3.92,0,0,0,0,1.96,1.96,3.92,0,0
