stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,78,29,0,77,0,0,0,7,1,0,0,0,2,1,0,0,1,44,0,0,28,511,3,1,5,15,0,7,1,114,2,1,147,104,0,0,4,0,1
 24-34,0.82,6.57,25.45,7.39,0,137.9,0,1.64,0,6.57,0.82,0.82,0,4.93,10.67,0.82,10.67,0.82,4.93,61.56,0.82,2.46,27.09,536.02,0.82,4.93,16.42,0,0,16.42,0,0.82,3.28,2.46,35.3,65.67,0,0,5.75,0,3.28
 36-46,0.81,0,6.45,1.61,0,91.85,0.81,0.81,1.61,10.47,1.61,0,0.81,0.81,0.81,2.42,3.22,0.81,0.81,36.26,0,0,17.72,302.93,1.61,1.61,8.06,0,0,7.25,0,1.61,1.61,0.81,0.81,42.7,0,0,4.83,0,0.81
 48-58,0,0,6.31,1.15,0,113.04,1.15,0.57,0.57,26.4,2.3,0.57,1.15,1.15,1.15,0.57,3.44,1.72,0.57,45.9,1.15,2.87,12.62,233.54,0,1.15,2.87,0,0,4.02,0,0,1.15,0.57,0,25.25,0,0,7.46,0,1.72
 60-70,1.96,0,8.83,1.96,0,186.49,2.94,0.98,1.96,41.22,4.91,0,2.94,2.94,0.98,0.98,2.94,5.89,2.94,54.97,1.96,0.98,15.7,246.36,0.98,5.89,2.94,0,0,5.89,0,0,1.96,0.98,0,17.67,0,2.94,2.94,0,1.96
 72-82,2.94,0,9.82,12.76,0.98,142.34,4.91,0,6.87,37.3,17.67,0,0,7.85,4.91,2.94,5.89,3.93,0,95.22,1.96,3.93,24.54,239.53,2.94,0,5.89,0,0,9.82,0,0,1.96,2.94,0,16.69,0.98,2.94,7.85,2.94,0
 84-94,1.06,0,21.24,8.5,2.12,97.71,1.06,0,4.25,27.61,14.87,0,1.06,11.68,15.93,5.31,3.19,2.12,3.19,58.41,2.12,3.19,27.61,114.7,1.06,1.06,13.81,0,0,32.92,0,0,5.31,1.06,0,9.56,2.12,1.06,7.43,0,0
 96-106,0,1.09,16.39,8.74,1.09,62.29,1.09,2.19,2.19,25.14,5.46,0,0,17.49,8.74,3.28,7.65,3.28,0,64.48,0,1.09,28.41,106.01,1.09,4.37,7.65,0,2.19,37.16,0,0,4.37,1.09,0,8.74,2.19,1.09,10.93,4.37,3.28
108-118,0,0,28.34,20.68,6.13,66.64,1.53,2.3,3.83,34.47,6.13,0,1.53,6.89,9.19,4.6,6.13,1.53,2.3,74.3,4.6,1.53,32.94,140.94,0,1.53,10.72,0,2.3,31.4,0,0,1.53,3.83,0,5.36,1.53,1.53,11.49,1.53,3.06
120,0,0,68.59,37.24,3.92,78.39,9.8,9.8,9.8,25.48,17.64,0,0,19.6,13.72,1.96,3.92,3.92,1.96,56.83,1.96,1.96,39.2,217.54,7.84,1.96,7.84,0,0,48.99,0,0,0,1.96,0,7.84,0,0,23.52,0,1.96
