stage,blastomeres,epidermis,fast_muscle,fin_epithelia,glial,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,somites
  5-6,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0
