stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,38,0,0,0,1,0,18,4,0,3,11,0,0,1,0,0
 24-34,0,0,0,0,8.21,0,0,12.31,0,0.82,0,0,0,0,0,0,0,0,0,0,0,10.67,0,1.64,107.53,0.82,0.82,0,0,0,44.33,0,1.64,1.64,28.73,0,0,4.93,0,2.46
 36-46,0,0,0,0,6.45,0.81,0,30.62,0,1.61,0,3.22,0,0,0,0,0,0,0,0,1.61,8.06,0,1.61,76.54,0.81,0,1.61,0,0,37.06,0,0,0,14.5,0,0,0,0,5.64
 48-58,0,0,0,0,4.02,0,0,21.8,0,1.72,0,1.72,1.15,0,0.57,0,0,0.57,0,0,1.15,13.77,0.57,2.3,29.26,0.57,0,2.3,0,0.57,19.51,0,1.72,0,5.74,0,0,0,0,6.31
 60-70,0,0,0,0,4.91,0,0,21.59,0,4.91,0,10.8,4.91,0,0,0,0,0.98,0,1.96,1.96,12.76,0,0.98,12.76,0,0.98,0,0,0,31.41,0,2.94,0,0.98,0,0,0.98,0,4.91
 72-82,0,0,0.98,0,10.8,0,0,13.74,0,3.93,0.98,13.74,11.78,0,0,0,0,0.98,1.96,1.96,2.94,27.49,0,2.94,18.65,0,2.94,0,0,0,25.52,0,13.74,0,0.98,0,0.98,1.96,0.98,7.85
 84-94,0,0,0,0,20.18,0,0,14.87,0,6.37,2.12,16.99,30.8,0,0,0,3.19,0,1.06,5.31,2.12,13.81,3.19,1.06,7.43,0,0,2.12,0,0,57.35,0,55.23,0,1.06,0,0,1.06,1.06,3.19
 96-106,0,0,2.19,0,20.76,0,1.09,18.58,0,2.19,2.19,16.39,44.81,0,0,0,1.09,0,1.09,10.93,2.19,29.51,4.37,3.28,27.32,0,1.09,7.65,0,1.09,62.29,0,68.85,0,2.19,0,1.09,1.09,3.28,5.46
108-118,0,0,1.53,0.77,31.4,0.77,2.3,22.98,1.53,6.13,1.53,17.62,68.17,0,1.53,1.53,2.3,0.77,0,32.17,4.6,26.04,0.77,1.53,29.11,0.77,1.53,3.83,0,0.77,44.43,0,68.94,0,1.53,1.53,0.77,0.77,0,3.06
120,0,0,0,0,21.56,0,0,5.88,0,9.8,0,17.64,48.99,0,0,0,1.96,0,1.96,13.72,7.84,19.6,1.96,3.92,27.44,0,1.96,1.96,0,1.96,41.16,0,39.2,0,0,0,1.96,0,0,3.92
