stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,1,0,2,0,0,14,0,0,0,1,0,0,1,8,0,0,0
 24-34,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,0.82,0,1.64,0.82,0.82,0,1.64,55.82,0.82,1.64,0,0,0.82,0.82,0,21.34,0,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,2.42,0.81,0,0.81,0,0.81,0,0,0,2.42,0,0.81,111.18,0,0.81,0,0,0,0,0,33.03,0,0.81,0
 48-58,0,0,0,0,0,0,36.72,0,0.57,0,0.57,0,0,0,0,0,0.57,4.59,0,1.15,118.2,1.15,1.15,1.72,0,0,0,0,25.25,0,0,0.57
 60-70,0,0,0,0,0,0,246.36,0,8.83,0,0,0,0,0,0,0,0,2.94,0,1.96,298.38,0,1.96,0,0,0,0,0,30.43,0,0,0
 72-82,0,0,1.96,0,2.94,0.98,359.29,0.98,12.76,0,0.98,0,0,0,0.98,1.96,0,7.85,0,0.98,327.88,0,0.98,3.93,0,0.98,0,0,26.5,0,0,0
 84-94,0,0,1.06,0,6.37,1.06,217.72,0,14.87,2.12,0,0,0,0,0,0,1.06,3.19,1.06,1.06,149.75,0,0,3.19,0,1.06,0,0,4.25,0,2.12,0
 96-106,0,0,1.09,0,2.19,0,196.71,0,8.74,1.09,0,0,0,0,0,1.09,0,5.46,0,0,142.07,0,0,10.93,0,3.28,0,0,5.46,2.19,0,1.09
108-118,0,0,0.77,0,2.3,0.77,127.15,0.77,9.19,0.77,0,0,0,0,1.53,0.77,1.53,1.53,0.77,0,168.51,0,0,9.19,0,1.53,0,0,2.3,0.77,1.53,0
120,0,0,0,0,1.96,0,133.27,0,15.68,3.92,0,0,3.92,0,0,3.92,0,7.84,0,0,184.22,0,0,9.8,0,1.96,1.96,0,0,0,0,0
