stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,27,0,0,0,0,3,1,0,1,1,0,0,0,0,0
 24-34,0,0,0,10.67,0,7.39,0,0.82,0.82,0.82,1.64,0,1.64,0,5.75,0,0,0,19.7,0.82,0,16.42,13.95,33.66,0,0,0,0,92.76,0,0,0.82,0.82,0,0,0.82,0,0
 36-46,0,0,0,8.06,0,8.06,0,2.42,0,0.81,0,0,4.83,0,0.81,0,0,0,58.01,1.61,0,16.11,18.53,29.81,0,0,0,0,107.15,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,2.3,0,10.9,0,2.3,3.44,0.57,0,0,4.02,0,0,0.57,0.57,0,71.73,0,0,20.66,12.05,12.62,0,0.57,0,0,51.07,0,0.57,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,5.89,0,14.72,0,6.87,18.65,1.96,0.98,0,3.93,0,0.98,0,0,0,81.47,0.98,0.98,10.8,6.87,12.76,0,0,0,0.98,41.22,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,2.94,0.98,24.54,0.98,9.82,47.12,5.89,1.96,0.98,12.76,0,0,0,0.98,0.98,142.34,0,0,23.56,16.69,7.85,0.98,0,0,2.94,23.56,0,0,0,0.98,0.98,0.98,3.93,0.98,0
 84-94,0,0,0,6.37,0,56.29,0,18.05,23.36,0,2.12,0,10.62,1.06,2.12,0,0,0,112.58,0,0,19.12,5.31,16.99,0,0,0,0,67.97,0,2.12,0,0,0,5.31,3.19,2.12,0
 96-106,0,0,1.09,17.49,0,43.71,0,21.86,17.49,9.84,8.74,0,16.39,0,2.19,0,0,1.09,101.63,0,3.28,16.39,16.39,17.49,2.19,0,0,2.19,40.44,0,0,0,0,1.09,5.46,3.28,0,0
108-118,0.77,0,0,22.98,0.77,53.62,0,26.81,24.51,5.36,10.72,0,3.83,0.77,3.83,1.53,0,2.3,94.21,0,4.6,12.26,13.79,36.77,2.3,0,0,2.3,25.28,0,0.77,0,0,0,7.66,2.3,0.77,0
120,1.96,0,0,25.48,0,48.99,0,21.56,15.68,1.96,1.96,0,5.88,0,0,0,1.96,0,76.43,0,0,11.76,17.64,35.28,0,0,0,3.92,9.8,0,0,0,0,0,9.8,0,0,0
