stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites
  3-4,210.85,4388.25,0,0,0,0,0,0,0,144.96,0,0,0
  5-6,300.35,2880.93,24.52,0,0,18.39,98.07,0,18.39,61.3,0,0,0
  7-9,55.2,26.29,65.72,0,118.29,89.38,1038.34,47.32,375.91,5.26,5.26,0,0
 10-12,0,28.32,44.06,9.44,94.41,25.18,635.69,50.35,248.61,0,9.44,15.73,3.15
