stage,blastomeres,epidermis,erythrocytes,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,olfactory,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,5,0,3
 24-34,0,4.1,0,0,0,0,0,0,0,4.1,0,3.28
 36-46,0,0.81,0,0,0,0,0,0,0,2.42,0,0.81
 48-58,0,1.72,0,1.15,0,0,0,0.57,0,1.15,0,0
 60-70,0,5.89,0,0,0.98,0,0,0,0,0.98,0,0.98
 72-82,0,3.93,0,0,3.93,0,0.98,0,0,2.94,0,0.98
 84-94,0,13.81,0,1.06,1.06,0,1.06,0,0,0,0,1.06
 96-106,0,1.09,1.09,3.28,1.09,0,1.09,0,1.09,1.09,1.09,0
108-118,0,17.62,0.77,3.83,3.06,0.77,1.53,0,0,1.53,0,0
120,0,62.71,1.96,21.56,1.96,1.96,0,0,1.96,0,1.96,0
