stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,2,14,0,0,0,0,0
 24-34,0,2.46,3.28,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,1.64,0,1.64,100.14,0,4.93,0.82,0,0,0,0,32.83,0,0,0,0,0
 36-46,0,0,0,0,0,7.25,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,0,137.77,0.81,1.61,0.81,0,0,0,0,45.92,0,0,0,0,0
 48-58,0,0,0.57,0,0,16.64,0,0,3.44,0,0.57,0,0,0,0,0,0.57,2.3,2.3,0,0.57,160.67,0,2.3,0,0,1.72,0,0,38.44,0,0.57,0,0,0
 60-70,0,0.98,1.96,0,0,64.78,0,0,4.91,0,0.98,0.98,0.98,0,0,0,0,3.93,0.98,0,0,200.23,0,1.96,0.98,0,2.94,0.98,0,30.43,0.98,0,0.98,0,0.98
 72-82,0,7.85,1.96,2.94,0,99.15,0,0.98,13.74,0.98,0,0,0,0.98,0,0.98,0,11.78,5.89,0.98,1.96,241.49,0,2.94,0.98,0,0,0,0,33.38,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,53.1,0,1.06,10.62,3.19,0,0,0,0,0,0,0,7.43,3.19,0,0,120.01,0,4.25,1.06,0,5.31,0,0,12.74,1.06,0,0,0,0
 96-106,0,4.37,1.09,1.09,2.19,53.55,0,0,12.02,8.74,0,1.09,2.19,0,1.09,0,0,4.37,5.46,0,0,113.66,0,4.37,2.19,0,4.37,1.09,0,10.93,3.28,2.19,1.09,0,0
108-118,0,3.06,0.77,1.53,17.62,39.83,0,0,8.43,5.36,0,0.77,2.3,0.77,0.77,0.77,0,3.06,2.3,3.06,0,130.98,0,4.6,0,0,1.53,0,0,9.96,0,0,0.77,0,0
120,0,1.96,1.96,0,3.92,50.95,3.92,0,19.6,7.84,0,0,0,0,0,1.96,0,9.8,5.88,0,0,201.86,0,1.96,1.96,0,1.96,0,0,7.84,3.92,0,3.92,1.96,0
