stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,3,7,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,1,0,2,4,0,1,2,1,0,0
 24-34,0,0,0,6.57,0.82,0,0,0,0.82,0,0,1.64,0,0,0.82,0,2.46,4.1,0,0,0,0,0.82,0,0.82,0,2.46,11.49,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,4.03,0,0.81,0,0,1.61,0,0,0,2.42,3.22,0,0
 48-58,0,0,0,2.87,0,0,0,0,0,1.15,0.57,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,1.72,4.59,0,0
 60-70,0,0,0,9.82,0,0,0.98,0.98,0,0,0,1.96,0,0,5.89,0.98,0.98,0.98,0,0.98,0,0,1.96,0,0,0,0,3.93,0,0
 72-82,0,0,0,5.89,0,0,0,0,0,0.98,2.94,0,0,0,3.93,0.98,0,3.93,0,0,0,0,0,0,0,0,0,11.78,0,1.96
 84-94,0,0,0,6.37,0,1.06,0,0,0,0,4.25,1.06,1.06,0,2.12,1.06,0,0,0,0,0,0,1.06,0,0,0,0,3.19,1.06,0
 96-106,0,0,0,10.93,0,1.09,0,2.19,0,1.09,5.46,1.09,0,1.09,2.19,0,0,2.19,0,0,0,0,2.19,0,0,0,0,6.56,0,1.09
108-118,0,0,0,9.19,0,0.77,0.77,0,2.3,0,3.06,6.13,0,0,7.66,0.77,0,1.53,0,0,0,0.77,1.53,0,0,0,0,5.36,0,0
120,0,0,0,13.72,0,0,5.88,0,0,0,7.84,3.92,0,0,7.84,0,0,3.92,0,0,0,1.96,9.8,0,0,0,0,7.84,0,0
