stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,15.77,0,0,0,26.29,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,202.41,15.77,0,0,65.72,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.67,9.44,0,0,50.35,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,12,0,2,86,4,0,2,1,0,0,13,2,0,10,25,0,0,3,0,0
 24-34,0,0,0,0,4.1,2.46,0,9.03,0,0,0.82,4.1,0,0,0.82,0.82,2.46,0,0,0,0,10.67,0,3.28,123.13,0.82,0,1.64,0,1.64,0,0,0,0.82,3.28,30.37,0,0,5.75,0,0
 36-46,0,0,0,0,3.22,0.81,0,31.42,0,0.81,0.81,9.67,0.81,0,0,0,0,0,0.81,0,0,21.75,0,4.03,96.68,0.81,1.61,1.61,0,4.03,0,0,0.81,0,0,29,0,0,0.81,0,2.42
 48-58,0,0,0,0,1.72,0,0,37.3,0.57,0.57,1.15,9.75,0,0,0.57,0.57,0,0,0,0,0,18.94,0,1.72,74.59,0.57,0,0,0,1.15,0,0,0.57,1.15,0,12.05,0,0.57,2.3,0,0
 60-70,0,0,0,0,2.94,0,0,57.91,0,2.94,4.91,12.76,0,0,0,0,0,0.98,0,0,0,20.61,0.98,2.94,70.67,0.98,0,1.96,0,2.94,0,0,0.98,0.98,0,18.65,0,0,1.96,0,0
 72-82,0,0,0,0,3.93,0,0,25.52,1.96,0,0,11.78,1.96,0,0.98,0.98,0,0,0,0.98,0,21.6,2.94,1.96,53.99,0.98,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,2.94,0.98,0
 84-94,0,0,1.06,0,8.5,2.12,0,15.93,0,2.12,2.12,8.5,1.06,0,0,1.06,2.12,1.06,0,0,0,12.74,1.06,1.06,26.55,1.06,1.06,1.06,0,5.31,0,0,2.12,0,0,3.19,1.06,1.06,1.06,1.06,2.12
 96-106,0,0,0,0,1.09,1.09,0,19.67,0,0,0,7.65,0,0,0,0,1.09,0,1.09,0,1.09,10.93,0,1.09,30.6,0,1.09,1.09,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,10.72,0,0.77,0,3.83,0,0,0,0,0,0.77,0,0,0.77,10.72,0.77,2.3,24.51,0,0,3.06,0,3.83,0,0,0.77,0,0,0.77,0.77,0,1.53,0,0
120,0,0,0,0,1.96,1.96,0,11.76,0,0,0,3.92,1.96,0,0,1.96,1.96,0,0,1.96,0,9.8,0,0,37.24,1.96,0,1.96,0,5.88,0,0,0,0,0,1.96,0,0,1.96,0,0
