stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0,8.06,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,20.66,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,7.46,0,0,0.57,0,0.57,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,3.93,0.98,0,374.94,0,0.98,2.94,14.72,0.98,0,0,0.98,0.98,0,0,1.96,24.54,0.98,1.96,2.94,67.73,2.94,0.98,0,0,4.91,0,0,11.78,0,0,1.96,0,4.91
 72-82,0,0,2.94,0,46.14,53.01,0.98,941.41,8.83,7.85,12.76,108.96,11.78,4.91,9.82,1.96,3.93,5.89,11.78,6.87,273.88,8.83,7.85,36.32,600.78,2.94,5.89,10.8,2.94,64.79,0.98,2.94,56.94,9.82,12.76,36.32,8.83,16.69
 84-94,0,0,1.06,0,41.42,24.43,0,793.34,2.12,2.12,7.43,40.36,2.12,2.12,8.5,1.06,6.37,3.19,7.43,0,97.71,4.25,8.5,9.56,211.35,1.06,2.12,6.37,2.12,46.73,1.06,2.12,19.12,5.31,2.12,20.18,6.37,9.56
 96-106,0,0,4.37,0,77.59,63.39,4.37,807.61,5.46,13.11,10.93,98.36,17.49,2.19,17.49,6.56,10.93,3.28,21.86,4.37,175.95,7.65,9.84,28.41,433.86,4.37,14.21,14.21,5.46,110.38,4.37,5.46,18.58,10.93,2.19,25.14,6.56,8.74
108-118,1.53,0,3.06,1.53,58.98,42.89,4.6,641.11,3.06,9.96,12.26,84.26,11.49,3.83,18.38,6.89,6.89,3.83,12.26,2.3,252.77,3.83,9.19,31.4,540,1.53,9.96,9.19,9.96,64.34,1.53,0.77,16.85,3.83,3.83,27.57,9.19,12.26
120,0,0,3.92,0,50.95,45.08,3.92,683.97,0,11.76,5.88,54.87,13.72,3.92,19.6,1.96,3.92,5.88,7.84,0,178.34,3.92,9.8,17.64,442.91,11.76,5.88,7.84,1.96,52.91,7.84,0,15.68,0,3.92,21.56,9.8,5.88
