stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
 14-21,1,0,0,0,0,0,0,1,1,0,1,3,0
 24-34,0,0.82,0,0,0,0,0.82,14.78,0,0,0,1.64,0
 36-46,0,0.81,0,0,0,1.61,0.81,6.45,0,0,0,0.81,0
 48-58,0,2.3,0.57,0.57,1.15,0.57,0,2.87,0,0,0,1.15,0
 60-70,0,2.94,0,0,0,1.96,0,8.83,0,0,0,0,0
 72-82,0,1.96,0,0,0.98,0,0,5.89,0,0,0,0,0.98
 84-94,0,2.12,0,0,0,1.06,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0
120,1.96,0,0,0,0,0,0,0,0,0,0,0,0
