stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,783,0,0,0,1,0,0,0,0,0,0,0,4,0,1,410,1,0,1,0,0,1,0,3,0,4,13,0,0,0,0
 24-34,0.82,0,3.28,0,1096.66,0,0,0,0.82,0,0,0,0,0,0,0,6.57,0.82,2.46,297.15,0,1.64,0,0.82,0,2.46,0,0,0.82,1.64,20.52,0,0.82,0,0
 36-46,0,0,0.81,0,924.91,0,0,0,1.61,0,0,0,0,0,0,0.81,7.25,0,1.61,130.52,0,0.81,0.81,0,0,1.61,0,0,0,0,10.47,0,0,0,0.81
 48-58,0,0,1.72,0,513.56,0,0,0,5.16,0,0,0.57,0.57,0,0,0,4.02,0,1.15,55.66,1.15,0,0,0,0,0.57,0,0,0,0,9.18,0,0,0,0
 60-70,0,0.98,0.98,0,706.7,0,0,0,18.65,0,0,0,0,0,0,0,7.85,0,0,37.3,0,0.98,0,0,0,0.98,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,1.96,0.98,827.54,0,0,1.96,40.25,0.98,0,0.98,0,0,0.98,0,11.78,0,0,42.21,0,0,1.96,0,0,2.94,0,0,0,0,1.96,0.98,0.98,0.98,0.98
 84-94,0,0,4.25,1.06,777.41,1.06,0,0,33.99,2.12,0,0,0,0,0,0,5.31,0,1.06,20.18,1.06,0,0,0,0,0,0,0,0,0,7.43,0,0,0,1.06
 96-106,0,0,1.09,0,495.06,0,1.09,1.09,39.34,0,0,1.09,0,1.09,2.19,0,7.65,0,1.09,15.3,0,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,2.3,1.53,388.34,0,0.77,0,26.81,0,0,2.3,0,1.53,0.77,0,6.89,0.77,0,33.7,0,0,1.53,0,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,5.88,1.96,413.51,0,0,0,31.36,0,1.96,1.96,0,0,1.96,0,3.92,0,0,58.79,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
