stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,2.63,0,36.8,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,18.88,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,2,6,0,0,0,0,110,1,1,5,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,5.75,0,0,0,1.64,0,0,0,0,9.03,0,0,0,9.03,2.46,0,0.82,29.55,0.82,0,0,0,259.39,0,0,17.24,0.82,2.46,13.13,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,4.03,0,1.61,0,2.42,0,0,0,0,4.03,0,0,0,12.09,13.7,0,4.03,23.36,0,0,0,0,290.04,0,0,13.7,0,0,6.45,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,1.72,0.57,0,0.57,0,1.72,0,0,0,10.33,2.3,0,0,10.33,0.57,0,0,0,102.71,0,0,5.74,0,0,1.72,0,0,0.57,0,5.16
 60-70,0,0,0,0,1.96,0,17.67,0.98,6.87,0.98,2.94,0,0.98,0,0,0.98,0.98,0,0,14.72,1.96,0,0,4.91,0.98,0,0,0,71.65,0.98,0,7.85,0,0,2.94,0,0,1.96,0,3.93
 72-82,0,0,0,0,2.94,0,92.28,0,0.98,0,7.85,1.96,0.98,0.98,0,0.98,0,0,0,36.32,2.94,2.94,1.96,16.69,0,2.94,0,0.98,71.66,0,0,20.61,0,0,0.98,0.98,0.98,1.96,1.96,7.85
 84-94,0,0,0,0,3.19,1.06,69.03,0,1.06,0,1.06,2.12,1.06,0,0,5.31,1.06,0,1.06,18.05,2.12,0,0,6.37,0,0,0,0,169.93,0,0,25.49,0,0,0,2.12,0,0,8.5,5.31
 96-106,0,0,1.09,0,5.46,1.09,67.76,1.09,1.09,1.09,5.46,9.84,0,1.09,0,4.37,0,3.28,0,26.23,5.46,1.09,0,9.84,0,0,0,0,87.43,0,0,33.88,0,0,1.09,0,1.09,0,5.46,6.56
108-118,0,0,0,0,5.36,0.77,46.72,0,1.53,0.77,9.19,8.43,0,0,1.53,1.53,0,0.77,0,22.98,6.13,0.77,0,13.02,0,0,0,0,63.57,0.77,0,26.81,0,0,1.53,0,0.77,0.77,0.77,6.13
120,0,0,0,0,3.92,0,76.43,0,0,0,1.96,5.88,0,0,1.96,3.92,0,0,0,17.64,0,1.96,0,13.72,0,0,0,0,68.59,0,0,17.64,0,0,0,0,0,0,1.96,1.96
